"lineage","country","date","E.L51F","M.H125Y","N.R203K","N.G204R","N.A220V","ORF1a.E102K","ORF1a.L204F","ORF1a.T568I","ORF1a.P1541S","ORF1a.A3143V","ORF1a.H3580Q","ORF1a.T3750I","ORF1a.T4031I","ORF1b.P314F","ORF1b.P2256L","ORF1b.K2557R","S.P9L","S.N125K","S.N188T","S.L452R","S.T478K","S.Q493L","S.D614G","S.H655Y","S.P681H","S.T859N","S.T1027I","ORF1a.N470D","ORF1a.A540V","ORF1a.Q607H","ORF1a.L3644F","ORF1b.P314L","ORF1b.T2490M","ORF8.L118I","S.P384L","N.M234I","ORF1a.S610L","ORF1a.L3588S","S.T29I","S.D808E","ORF1a.R124C","ORF1a.L450F","ORF1a.D3009G","ORF1a.L3606F","ORF1a.A2345V","ORF1a.S2797F","ORF3a.S171L","ORF7a.T115I","ORF1a.P1207L","ORF1a.I1398L","ORF1a.N2531S","ORF1a.A3615V","ORF1b.T1774I","ORF1b.D2067Y","ORF1b.P2313L","ORF7b.E3.","ORF1a.S2193F","N.P13T","ORF1a.P197S","ORF1a.P971L","ORF1a.P3613S","ORF1b.T2432I","ORF8.E92K","ORF9b.H9Q","S.S640F","M.A2V","N.P67S","ORF1a.P2260S","ORF1a.K3353R","ORF1a.T4066A","ORF1b.A1547S","ORF8.S24L","S.Q675H","M.V10A","ORF1a.Y1920C","ORF9b.E65G","ORF1a.P804T","ORF1a.T2283I","ORF1b.P1664S","ORF1b.A440V","N.G215S","ORF1a.G146C","ORF9b.R13H","ORF1a.G2893V","ORF1a.T2087I","ORF1a.G408C","ORF1b.T2548I","S.H1101Y","ORF1a.T2152I","ORF1a.L3338F","ORF8.V100L","ORF1b.R945K","ORF8.I76S","ORF8.N78K","ORF8.S82F","ORF8.L84V","ORF8.P85T","ORF8.Q91L","ORF8.P93H","ORF1a.S966F","ORF1a.S2389L","ORF1a.T2648I","ORF1b.P1427S","S.P384S","ORF1b.Q435H","ORF8.F108S","ORF7a.P34S","ORF8.A51T","ORF1b.V1865A","S.L117I","ORF7b.M24I","ORF7b.L25D","ORF7b.I26F","ORF1b.A1711V","ORF1a.S2517F","ORF9b.R32H","ORF1b.T797A","ORF3a.T229I","ORF1b.P1727L","N.K369R","ORF1a.H110Y","ORF1b.S1391L","ORF3a.L108F","ORF3a.P240L","ORF3a.W131R","S.E583D","ORF1a.T4207I","ORF1a.D982V","ORF1a.L1191V","ORF7b.L4F","ORF1a.P4337S","S.T549I","ORF1a.A1049V","ORF1a.S2535L","ORF1a.P3504L","ORF1b.D1869G","ORF1a.R398C","ORF1b.T1453I","ORF1b.P1917S","ORF1a.A690V","ORF1a.A3523T","ORF1a.T4083M","ORF1b.G99S","S.T719I","N.P199S","N.D288N","ORF3a.L46F","N.P279S","ORF1a.P2046R","ORF1b.I2346T","S.P26S","S.T240I","S.F643L","S.E1207D","ORF8.T11I","ORF8.A51S","N.P168S","ORF1a.K1280N","ORF1a.N2361K","ORF1b.S2212I","ORF3a.W69L","N.T271I","ORF1a.H3076Y","ORF7a.T61I","S.T299I","ORF1a.F406V","ORF1a.G2251C","ORF3a.L94F","ORF8.Y111H","ORF1a.A2994V","M.G79V","ORF1b.I527T","ORF1a.S2103F","ORF1a.S2661F","ORF8.A65V","S.L141F","ORF1a.D2980G","ORF1a.K1869R","ORF1a.A2192V","ORF1a.R1628L","ORF7b.I26L","ORF7b.I27F","ORF8.V116S","ORF8.V117I","ORF1b.V658I","ORF1a.S2015I","N.V270L","ORF3a.T32I","S.D1199Y","ORF1b.A370V","ORF1a.S302F","ORF1a.G3072C","ORF1b.A1521V","S.A647S","ORF1b.A1031V","ORF7a.G26S","ORF1a.N3537D","ORF3a.F56V","ORF1a.I793V","ORF1a.I1607T","ORF9b.P51Q","ORF8.L84S","ORF1a.T1168I","ORF1b.V578L","ORF1b.G1129S","ORF1a.G1307D"
"B.1.1.265","South Africa","2021-06-08",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","South Africa","2021-06-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-15",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-17",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-17",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-19",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-20",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-20",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-27",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.265","USA","2020-09-27",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
