"lineage","country","date","N.R36Q","N.P168S","N.R203K","N.G204R","N.I292T","ORF1a.P4353H","ORF1b.P314L","ORF6.I33T","ORF9b.D33N","S.D614G","ORF1a.L3606F","ORF1b.M1581I","ORF1a.T1794I","S.T1100I"
"N.7","Uruguay","2020-10-05",1,1,1,1,1,1,1,1,1,1,0,0,0,0
"N.7","Uruguay","2020-10-16",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-16",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-16",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-08-19",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-09-01",1,1,1,1,1,0,1,1,1,1,1,1,0,0
"N.7","Uruguay","2020-09-09",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-09-14",1,1,1,1,1,0,1,1,1,1,0,0,0,0
"N.7","Uruguay","2020-09-16",1,1,1,1,1,0,1,1,1,1,1,0,1,0
"N.7","Uruguay","2020-09-16",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-09-18",1,1,1,1,1,0,1,1,1,1,1,0,1,0
"N.7","Uruguay","2020-09-22",1,1,1,1,1,0,1,1,1,1,1,0,1,0
"N.7","Uruguay","2020-09-22",1,1,1,1,1,0,1,1,1,1,1,0,1,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,1
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
"N.7","Uruguay","2020-07-14",1,1,1,1,1,0,1,1,1,1,1,0,0,0
