"lineage","country","date","ORF1a.K1689R","ORF1a.Q2702H","ORF1b.P314L","ORF1b.E1264D","ORF3a.Q57H","S.P26L","S.D614G","ORF1b.A1291V","ORF1b.D870Y","ORF1b.E1242A","ORF7a.T39I","ORF1a.R398C"
"B.1.159","Bangladesh","2020-07-06",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.159","New Zealand","2020-04-10",0,1,1,0,1,0,1,1,0,0,0,0
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,0,0
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,0,1
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,0,1
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,0,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,0,1
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-15",0,1,1,0,1,0,1,0,1,1,1,0
"B.1.159","Germany","2020-06-14",0,1,1,0,1,0,1,0,1,1,1,0
