"lineage","country","date","N.P46S","N.A220V","ORF1b.P314L","ORF1b.V1538L","ORF9b.R32L","S.A222V","S.A262S","S.P272L","S.D614G","E.E8D","ORF3a.L147F","S.T22I","ORF1a.P3200S","S.L18F","ORF1a.A1049V","ORF7a.P34L","ORF1a.L3606F","S.A243S","ORF1a.E55K","ORF1b.T2631I","ORF3a.D155H","ORF3a.Q213K","ORF1b.D2576Y","N.G25C","ORF1a.V2372L","ORF1b.S1898A","ORF1a.I2712V","ORF1b.Q72E","ORF1a.A1156V","ORF1a.L631F","ORF1a.N1042Y","ORF1a.N2498S","ORF7b.L32F","ORF6.M58V","N.D343Y","S.S1242I","N.D377Y","ORF1b.S1893F","ORF1a.T1055I","ORF3a.V273L","ORF1b.Q1393R","ORF1a.P1213L","ORF1a.V3751F","S.S254F","ORF1b.H1897Y","ORF1b.T797I","ORF1b.I1257V","ORF8.D35G","N.T325I","ORF1a.Q4100H","ORF1b.A1791S","ORF7a.T61I","ORF3a.P240S","ORF1a.T4355I","N.G243C","ORF1a.A3945S","ORF1a.S944L","ORF1b.M1573I","ORF1b.I2166V","ORF1b.E245D","N.A119S","N.H145Y","ORF1b.E1264D","ORF1a.S1539N"
"B.1.177.82","United Kingdom","2021-01-15",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-08-28",0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-08-28",0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-08-28",0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-10-05",0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-10-05",0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-10-10",0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-10-12",0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-10-14",0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-11-08",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-11-14",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-11-14",0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.82","United Kingdom","2020-11-14",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
