"lineage","country","date","N.A220V","ORF1a.A903V","ORF1a.A1268V","ORF1b.P314L","ORF3a.D210Y","ORF6.S41F","S.A222V","S.D614G","ORF3a.A98V","ORF8.S97I","ORF9b.R32L","S.S98F","S.R408I","N.T141I","ORF1a.T333M","N.G60R","ORF1b.D83N","ORF1b.M371I","ORF9b.M56I","ORF7b.T40I","ORF1a.R1464Q","ORF1a.L3201F","ORF1a.V1399F","ORF1a.Q2772R","ORF1b.R1315C","ORF1b.K2111N","S.V1176F","N.G5R","ORF9b.M1I","ORF1a.L3606F","ORF1a.M1647I","ORF1b.D144N","ORF1a.T3284I","ORF1a.M3934I","S.C1247F","ORF1a.Y1734H","ORF1a.L2655F","ORF1b.R1226H","ORF3a.W131C","N.T282I","ORF1a.R2159Q","ORF1b.I1227V","ORF6.E13D","ORF1a.T568I","ORF1a.V3261I","ORF1a.I238V","ORF1a.R398C","ORF1a.L1853F","S.E132Q","ORF1a.D3222N","ORF1a.T3224P","ORF1b.D2333G","ORF3a.Y189C","ORF1a.V2613F","ORF1a.L1270F","N.P302S","ORF1a.R207C","ORF1a.Q998H","ORF1b.S1273L","ORF1b.S1023G","ORF1a.S966P","ORF1a.R24C","ORF1b.A1521S","ORF3a.T221A","ORF7a.L116F","ORF8.K68E","ORF1b.A1959V","ORF6.D61L","ORF7a.S44L","S.Q677H"
"B.1.177.53","Spain","2021-02-13",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2021-01-18",1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-08-09",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-10-12",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-10-17",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-11-19",1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-11-19",1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-08-27",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-11-05",1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.53","United Kingdom","2020-11-13",1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
