"lineage","country","date","ORF1b.P314L","ORF1b.S1408L","ORF3a.Q57H","S.D614G","S.S13I","N.P364S","ORF1a.G465D","ORF1a.I1525V","ORF1b.K771R"
"B.1.9.2","USA","2020-04",1,1,1,1,0,0,0,0,0
"B.1.9.2","USA","2020-05",1,1,1,1,0,0,0,0,0
"B.1.9.2","USA","2020-05",1,1,1,1,0,0,0,0,0
"B.1.9.2","USA","2020-05",1,1,1,1,0,0,0,0,0
"B.1.9.2","USA","2020-05",1,1,1,1,1,0,0,0,0
"B.1.9.2","USA","2020-06",1,1,1,1,0,1,1,1,0
"B.1.9.2","USA","2020-06",1,1,1,1,0,0,1,1,0
"B.1.9.2","USA","2020-07",1,1,1,1,0,0,1,1,0
"B.1.9.2","USA","2020-07",1,1,1,1,0,1,1,1,0
"B.1.9.2","USA","2020-07",1,1,1,1,0,1,1,1,1
