"lineage","country","date","ORF1a.L3606F","S.D614G","ORF3a.G251V","NA.","ORF8.L84S","S.T95I","ORF1b.P314L","S.H655Y","S.H49Y","N.S194L","ORF1a.Y241N","ORF1a.I2286R","ORF1b.G205S","S.G799D","M.I82T","N.G215C","N.D377Y","ORF1a.A1306S","ORF1a.T3646A","ORF1b.G662S","ORF7b.T40I","ORF1b.A1219S","S.L452R","ORF1a.P1921L","ORF3a.A72S","ORF1a.K3324R","ORF1a.T350I","ORF1a.T3255I","ORF8.K68.","ORF1a.M315T","ORF1b.S961L","ORF1a.P1497L","N.P13L","ORF9b.P10S","ORF1a.E352D","ORF1a.T1626I","ORF1b.H863Y","S.N501Y","S.P681H","N.D3L","ORF8.Y73C","ORF1a.A1708D","S.T716I","ORF1b.H1213Y","N.T205I","ORF1b.P1000L","S.D796Y","ORF3a.S26L","ORF7a.V82A","S.P681R","ORF1a.P2046L","ORF7a.T120I","ORF1b.A1918V","ORF1b.I1257V","N.D63G","ORF9b.T60A","S.R158G","S.T19R","ORF3a.E239Q","S.T478K","ORF1a.N2894H","N.R203M","ORF1a.V2930L","S.D950N","ORF1a.P2287S","S.Y145D","S.L212I","ORF1a.I3731V","ORF1a.P3395H","ORF1a.V2754I","ORF1b.T1339A","E.T9I","S.N856K","S.G142D","ORF1a.A2710T","S.A67V","S.Q954H","S.N969K","S.L981F"
"B","Australia","2020-02-21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-02-21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-05-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-03-17",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-03-20",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-03-11",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-03-20",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-03-17",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","Australia","2020-01-25",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
