"rules","support","confidence","coverage","lift","count"
"{ORF1a.V2766F,ORF7a.V82A,ORF8.S67F} => {ORF7a.V24F}",0.000508005691136221,0.968421052631579,0.000524571094108054,183.32547955254,276
"{ORF1a.V2766F,ORF8.S67F,S.G142D} => {ORF7a.V24F}",0.00050248389014561,0.941379310344828,0.000533774095759073,178.206383515559,273
"{ORF1a.V2766F,ORF8.S67F,S.T95I} => {ORF7a.V24F}",0.000506165090806017,0.929054054054054,0.000544817697740295,175.873169554572,275
"{ORF1a.V2766F,ORF8.S67F} => {ORF7a.V24F}",0.000509846291466425,0.926421404682274,0.000550339498730906,175.3747998555,277
"{ORF1b.F685Y,ORF3a.D155Y,S.D138H} => {ORF1a.I695V}",0.000585310905004776,0.943620178041543,0.000620282311278647,175.092140146909,318
"{ORF3a.D155Y,S.D138H} => {ORF1a.I695V}",0.00133627583972789,0.926020408163265,0.0014430306588797,171.82643913098,726
"{ORF3a.D155Y,S.D138H,S.T95I} => {ORF1a.I695V}",0.00133627583972789,0.926020408163265,0.0014430306588797,171.82643913098,726
"{ORF3a.D155Y,S.D138H,S.G142D} => {ORF1a.I695V}",0.00133259463906748,0.925831202046036,0.00143934945821929,171.791331250961,724
"{ORF3a.D155Y,ORF7a.V82A,S.D138H} => {ORF1a.I695V}",0.00125897062585933,0.921832884097035,0.00136572544501115,171.049428880739,684
"{N.A12S,ORF1b.F685Y,ORF1b.L261F} => {ORF1a.E995K}",0.00137860964732257,0.972727272727273,0.00141726225425685,166.556476520643,749
"{ORF1b.F685Y,ORF1b.L261F,ORF3a.W128L} => {ORF1a.E995K}",0.00137860964732257,0.972727272727273,0.00141726225425685,166.556476520643,749
"{N.A12S,ORF1b.F685Y,ORF3a.W128L} => {ORF1a.E995K}",0.00137308784633196,0.972620599739244,0.00141174045326624,166.53821130127,746
"{ORF1b.F685Y,ORF1b.L261F,ORF9b.M8I} => {ORF1a.E995K}",0.00126449242684994,0.970338983050847,0.00130314503378422,166.14753855358,687
"{ORF1b.F685Y,ORF3a.W128L,ORF9b.M8I} => {ORF1a.E995K}",0.00125897062585933,0.970212765957447,0.00129762323279361,166.125926869665,684
"{N.A12S,ORF1b.F685Y,ORF7a.V82A} => {ORF1a.E995K}",0.00132891343840707,0.967828418230563,0.00137308784633196,165.717663867974,722
"{N.A12S,ORF1b.F685Y} => {ORF1a.E995K}",0.00137860964732257,0.955357142857143,0.0014430306588797,163.582253725631,749
"{N.A12S,ORF1b.F685Y,S.G142D} => {ORF1a.E995K}",0.00137860964732257,0.955357142857143,0.0014430306588797,163.582253725631,749
"{N.A12S,ORF1b.F685Y,S.T95I} => {ORF1a.E995K}",0.00137860964732257,0.955357142857143,0.0014430306588797,163.582253725631,749
"{N.A12S,ORF1b.F685Y,ORF9b.M8I} => {ORF1a.E995K}",0.00126081122618953,0.951388888888889,0.00132523223774666,162.902784343594,685
"{N.A12S,ORF1b.L261F,ORF7a.V82A} => {ORF1a.E995K}",0.00560830920613067,0.945099255583127,0.00593409546457673,161.825833803205,3047
"{ORF1b.L261F,ORF3a.W128L,ORF7a.V82A} => {ORF1a.E995K}",0.00560830920613067,0.944513329200248,0.00593777666523713,161.725507805806,3047
"{N.A12S,ORF3a.W128L,ORF7a.V82A} => {ORF1a.E995K}",0.00559542500381925,0.9443926685306,0.00592489246292571,161.704847527685,3040
"{ORF3a.R68I,ORF8.A65V} => {ORF1b.E1184D}",0.00132707283807687,1,0.00132707283807687,161.696726190476,721
"{ORF1b.F685Y,ORF3a.R68I,ORF8.A65V} => {ORF1b.E1184D}",0.000508005691136221,1,0.000508005691136221,161.696726190476,276
"{ORF3a.R68I,ORF8.A65V,S.G142D} => {ORF1b.E1184D}",0.00122031801892505,1,0.00122031801892505,161.696726190476,663
"{ORF3a.R68I,ORF7a.V82A,ORF8.A65V} => {ORF1b.E1184D}",0.00132339163741646,1,0.00132339163741646,161.696726190476,719
"{ORF3a.R68I,ORF8.A65V,S.T95I} => {ORF1b.E1184D}",0.00124976762420831,1,0.00124976762420831,161.696726190476,679
"{ORF1b.L261F,ORF7a.V82A,ORF9b.M8I} => {ORF1a.E995K}",0.00534510335891154,0.942857142857143,0.00566904901702739,161.441925172212,2904
"{ORF3a.W128L,ORF7a.V82A,ORF9b.M8I} => {ORF1a.E995K}",0.00533405975693032,0.942132639791938,0.00566168661570658,161.317871204412,2898
"{N.A12S,ORF1b.L261F,S.T95I} => {ORF1a.E995K}",0.00538375596584582,0.942028985507246,0.00571506402528249,161.300122866395,2925
"{ORF1b.F685Y,ORF7a.V82A,ORF9b.M8I} => {ORF1a.E995K}",0.00121479621793444,0.94151212553495,0.00129026083147279,161.211622853849,660
