"lineage","country","date","N.R203K","N.G204R","ORF1a.T727I","ORF1a.S1520F","ORF1a.F1779L","ORF1a.A2123V","ORF1a.A3686T","ORF1a.L3899I","ORF1b.T132I","ORF1b.P314L","ORF1b.A1895V","ORF3a.M125I","ORF3a.G174D","S.R246T","S.D614G","S.A1078T","ORF1a.I1128T","ORF1b.T1404M","ORF1b.T2490M","ORF1b.K2557R","ORF3a.S177N","ORF8.P93L","M.L17I","N.T148S","N.S187L","N.G200D","ORF1a.V2862M","ORF7a.P45L","ORF1a.T2183I","ORF1a.C4163S","ORF1a.T4354I","ORF3a.V259L","ORF7b.S31L","ORF1a.E250A","ORF1a.M1378L","ORF1b.V2061L","ORF1a.T4207I","ORF1b.A2518T","ORF7a.H73Y","ORF1a.I2854L","S.I788T","ORF1b.P821S","S.V1228L","ORF1b.N141S","ORF1b.V2216A","S.D1118H","ORF1a.A385V","ORF1a.R1170C","S.V622F","S.A684V","ORF1a.I793V","ORF1b.Q2252H","ORF8.E59.","S.H207R","N.G243S","ORF1a.I3842V","S.V308I","ORF1b.I1829T","N.E280V","ORF1a.T3255I","ORF8.S67F","ORF1a.P3395L","S.N717S","ORF1a.E2089D","ORF1a.K3324R","ORF1a.T1001N","ORF3a.W45L","ORF1b.P1097S","N.T393I","ORF1a.A3615V","ORF1b.M1352I","ORF8.G77C","ORF1a.I3035M","ORF1b.P1917L","S.S1252Y","ORF1a.R550C","ORF1b.H124Y","ORF1b.P1342S","ORF1a.D996Y","ORF1a.D2717N","ORF7a.K53.","S.A163V","ORF1a.D1933G","ORF1a.R24C","ORF1a.D3836A","S.M1229I","ORF1b.A2513S","ORF7a.P99L","ORF8.A55V","ORF1a.E1687V","ORF1a.A3901S","ORF1b.A2132V","ORF7b.E3G","ORF1a.R545Q","ORF1a.P1640S","ORF1a.T2495I","ORF1b.S2339F","S.H655Y","ORF1a.T1168I","ORF1b.T1522I","ORF1b.K2063N","ORF1a.A1314V","ORF1a.K3353R","ORF8.A51V","S.L5F","S.P9L","S.E484D","S.S494P","S.V1228A","ORF1a.H45R","ORF1a.E1340D","ORF1b.S2363F","ORF1a.S302F","ORF1a.A3648V","ORF1a.Q4100H"
"B.1.1.337","USA","2020-12-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2021-01-09",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-09",1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2021-01-20",1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-11-30",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2021-01-29",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-10-10",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-10-22",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-10-22",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.337","USA","2020-10-26",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
