"lineage","country","date","N.A252S","ORF1a.T891I","ORF1a.Q2702H","ORF3a.Q57H","S.E154G","S.D614G","ORF1b.P314L","ORF1b.G1772V","ORF3a.V225L","ORF1b.P1287L","ORF1b.G2005V","ORF1b.M2260I","ORF7a.E33K","N.Q229R","ORF1a.A429T","ORF1a.S2352N","ORF1b.T797I","ORF1b.V2073L","ORF7a.V93F","ORF8.V32L","ORF1a.L3606F","ORF1b.P1427L","ORF1a.E3310D","ORF1a.T4035N","ORF1b.T2163I","ORF1a.A1134V","N.T198I","ORF1b.D275Y","ORF1b.P1851S","ORF1a.C357S","ORF1b.A1244S","ORF7a.I107L","ORF1a.K3499N","S.E156D","S.E484K","S.L5F","ORF8.T11I","ORF1a.P959S","ORF1a.G1073V","ORF1a.M2036I","ORF1a.A2345V","ORF1b.I1498M","N.S193I","ORF1a.I1203T","ORF1a.S2500F","ORF1a.V4102I","ORF6.D61L","S.V1164A","ORF1a.A917V","ORF3a.T229I","ORF1b.A7V","ORF7a.S36P","ORF8.I76T","ORF1b.Q2615K","S.S255F","N.P344L","ORF1a.P1497S","ORF1b.S1273L","S.I909V","ORF1a.G2269C"
"B.1.281","Bahrain","2020-07-25",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-06-25",0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-06-22",0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-07-05",0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-08-25",0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-09-14",0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-10-01",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-10-04",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-10-11",0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.281","Bahrain","2020-10-14",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
