"lineage","country","date","M.A98S","N.S194L","ORF1b.P314L","ORF1b.P1161S","ORF1b.A2222V","ORF9b.R32L","ORF9b.A68V","S.S98F","S.D614G","S.V687L","ORF1a.V2047F","N.R203M","ORF1a.S2797F","ORF1a.V4369I","ORF7a.E95.","ORF1a.P3952S","ORF1b.A1219S","ORF1b.K2063R","ORF1a.T1241I","ORF1a.S2981F","ORF7a.P34L","ORF1a.T4207I","ORF1b.H1087Y","ORF7b.H42Y","S.Q677H","S.P681H","N.P20L","ORF9b.P17S","ORF7a.L96F","ORF1b.A2131V","ORF3a.V88L","ORF8.T11I","N.R209I","N.S413I","M.A194S","S.A522S","ORF1a.I3731V","S.L5F","ORF1a.N447S","ORF1a.A599V","ORF1a.G2258C","ORF1a.H3580Y","S.Y1272H","ORF1a.L1556F","ORF1a.A3061V","ORF1a.V3130F","ORF1a.A3457S","ORF1a.T3750I","ORF1a.S481F","ORF1b.D729Y","ORF3a.M5T","ORF1a.S4393L","ORF1b.A37V","ORF3a.T268M","ORF1a.G442D","ORF1b.P2256H","S.F157L","ORF9b.P51L","ORF1b.P976L","N.S193I","ORF1a.E910D","S.K1073M","E.V62F","ORF3a.G11V","N.G18S","ORF1a.A2033V","ORF1a.A4285V","ORF1b.P970L","ORF3a.I263V","ORF1b.G2180V","S.S255F","S.Q675H","ORF1b.T1511I","ORF1b.Y166H","ORF3a.S26L","ORF3a.L83F","S.N717S","ORF1a.P3447L","ORF1b.P1095S","N.V350F","ORF1a.K1781N","ORF3a.T223I","S.S640F","ORF1a.H1500Y"
"B.1.189","United Kingdom","2021-03-11",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-04-19",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-04-23",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-07-03",0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-04-27",0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-12-21",0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-12-23",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-05-05",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-05-12",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-05-20",0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-05-23",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-05-18",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.189","Mexico","2020-04-19",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
