"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","ORF6.W27L","S.D614G","ORF1a.T1760I","ORF1b.G170C","ORF1b.A2431V","ORF1a.A1283V","ORF1a.A2584V","N.P151L","ORF1b.P1967L","S.T299A","S.V1228I","ORF1a.S2797F","N.D348Y","ORF3a.P42L","ORF1a.H3076Y","S.T716I","S.L18F","ORF1b.A2222V","ORF1b.V2493I","ORF1a.L3876F","ORF1a.A690V","S.A520V","ORF1b.H1213Y","ORF1a.G3072C","ORF3a.P42H","S.D215Y","ORF1a.M2194I","ORF1a.A3392V","ORF1b.S1159I","ORF1a.P1220L","ORF1a.V874A","ORF8.A55V","ORF8.D63Y","S.A262S","ORF1a.G728C","ORF1a.V2047F","ORF3a.F28S","ORF3a.M125T","ORF3a.D173G","ORF7a.I88V","S.M153T","S.P681H","N.S193I","N.T148A","ORF1a.P309L","ORF1a.A1352V","ORF1a.A3209V","ORF1b.M2269I","ORF3a.L106F","ORF8.K68E","S.T1273I"
"B.1.1.89","Australia","2020-03-27",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","Australia","2020-03-21",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","Australia","2020-03-27",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-24",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-19",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-17",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-17",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-26",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-22",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.89","United Kingdom","2020-06-07",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
