"lineage","country","date","N.R203K","N.G204R","ORF1b.I235T","ORF1b.P314L","ORF3a.T223I","S.D614G","S.V1228L","N.Q418H","ORF1a.P971L","ORF1a.A1679V","ORF1a.S2242F","ORF1a.M3761V","ORF1a.T4164I","ORF6.D61E","ORF8.A51V","S.G769V","ORF1a.S443F","ORF1a.D935G","ORF1a.M3655I","ORF1b.S638I","ORF3a.V77I","N.D144Y","N.D415G","ORF1b.D131Y","ORF1b.T2134I","M.F100S","N.D3Y","ORF1a.P1640L","ORF1a.T3202M","ORF1a.M3621I","ORF1b.T797I","ORF1b.M1197I","ORF7a.E121.","ORF1a.P309L","ORF1a.I404T","ORF1a.K1247N","ORF1a.S2625F","ORF1b.A941V","ORF1b.P1325S","ORF8.L95F","S.L18F","S.H245Y","S.N440K","ORF1a.Q3777H","ORF3a.L129F","S.A520S","N.Q281L","ORF1a.V1565L","ORF1a.K3353R","ORF1a.T4088I","ORF1b.R1315C","ORF3a.K21N","ORF9b.R32L","ORF1a.T1055I","E.N64S","ORF1b.N206I","ORF1b.T1162I","S.S659L","S.K1191N","ORF1a.D2136G","ORF1b.A2132V","ORF3a.V77F","ORF8.K68R","N.S413I","ORF3a.S60F","ORF1a.T753I","ORF1a.L3606F","ORF1b.K2111N","S.W152L","N.D22Y","ORF1a.H1108Y","ORF1a.L1853F","ORF1b.A2431V","ORF7a.T115I","ORF7a.R118I","ORF9b.Q18H","S.L1234F","ORF1a.G519S","ORF1a.T436I","ORF1b.P1682S","ORF1b.A576V","ORF1b.V1310I","ORF3a.Y264H","ORF1a.V337F","S.A262S","ORF1a.R29H","ORF1b.T730I","ORF8.D63G","ORF1a.I257L","ORF1a.M2674I","ORF1a.G3617S","ORF1b.A2575V","ORF3a.L85F","ORF3a.P104S","ORF7a.E16D","ORF8.Q18.","S.D138H","ORF1a.E347D","ORF1a.E640D","ORF1a.D795N","ORF1a.V3718F","ORF3a.P240L","N.G18V","ORF1b.M101V","ORF9b.V15L","S.Q675H","S.A845S","ORF1a.E1340G","ORF1a.T708I","ORF1a.F3064S","ORF1a.T3258I","ORF3a.V112F","ORF6.K42N","S.L249F","ORF1a.D992Y","ORF8.T26I","ORF1a.S376A","ORF1a.D4335N","ORF1b.E1728D","ORF7a.P99S","ORF8.D119Y","S.D80Y","N.A252V","ORF1a.P885L","ORF1a.H1141Y","ORF1b.D2020N","ORF3a.L52F","S.S939F","ORF1a.V4369I","ORF3a.T34M","S.L5F","N.E253D","N.R319H","ORF1a.V28I","ORF1a.L1388V","ORF1a.M2254I","ORF1a.A3497V","ORF3a.Q185H","N.N192Y","ORF1a.P2483S","ORF1a.N3484K","ORF3a.Y184H","S.D138Y","S.F306L","S.P1162S","N.Q9H","ORF1a.L349F","ORF1a.H1113R","ORF1b.M2269I","ORF3a.A33S","ORF8.I9T","ORF9b.S6I","ORF1a.W3600C","ORF1a.K3839R","ORF1a.G4178C","ORF1b.T2490M","ORF1a.A555V","ORF1a.K564N","ORF1a.K625R","ORF1a.Y906H","ORF1a.S2024L","ORF1b.T1289M","S.P681H","ORF1a.G112S","ORF1b.A1884V","ORF1b.T2099I","ORF8.A65G","S.S98F","S.E484K","S.A899S","N.Q7K","ORF1a.V2665F","ORF1b.Y1466H","ORF1b.T1540I","ORF1b.A2028S","ORF1b.V2237I","ORF1b.A2306V","ORF7b.A15S","S.Q677H","N.Q289L","N.D377Y","ORF1a.A1397T","ORF1a.A2850V","ORF1a.A2994V","ORF1a.A3454V","ORF1b.H2065Q","ORF1a.E1413D","ORF1b.D1183Y","ORF1b.M1596I","ORF1b.T2432I","S.E583D","N.T166I","N.M234I","ORF1a.E1209D","ORF3a.D27Y","ORF3a.L94F","ORF6.Y49H","S.R214L","ORF1b.T132I","ORF1b.L1086S","ORF1a.A372V","ORF1a.S528L","ORF1b.T17I","N.Q389H","ORF1a.V3107I","ORF7b.H42Y","ORF1a.Y1814C","ORF1a.L3915F"
"B.1.1.216","Australia","2020-07-01",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","Australia","2020-07-06",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","Bahrain","2020-11-16",1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-09-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-09",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-12",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-14",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.216","United Kingdom","2020-12-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
