"lineage","country","date","N.V72I","ORF1a.V28I","ORF1a.D3042N","ORF1b.P314L","ORF3a.G172D","ORF3a.T223I","S.D614G","N.L139F","N.T379I","ORF1a.F3486S","ORF8.C20F","ORF8.A65V","ORF8.P70T","S.P1162L","E.A41V","ORF1a.R848M","ORF1a.R3993L","ORF3a.D173Y","ORF7a.V93I","S.N679K","N.H145Y","N.T366I","ORF1a.T1637I","ORF1b.P1727L","ORF3a.G224C","ORF1a.R1404C","ORF1a.K1817R","ORF1a.P1862S","ORF3a.T32N","ORF1a.S318L","ORF1a.A2994V","ORF1b.I1690V","S.H49Y","S.M153I","ORF1a.S166C","ORF1b.R2308C","ORF3a.A54V","ORF8.T26I","S.A67V","ORF1a.T4304I","ORF7b.H37R","ORF7b.T40I","ORF8.V62L","ORF8.E59.","ORF1a.K1895N","S.D1084Y","N.G200D","N.S232T","ORF1a.G1119S","ORF1a.G2241S"
"B.1.560","India","2020-12-11",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2021-01-13",0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2021-01-15",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2021-01-18",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2020-12-23",0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2020-12-28",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2021-01-02",0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.560","India","2020-11-25",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"B.1.560","India","2020-11-24",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"B.1.560","India","2020-12-10",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.560","USA","2021-02-12",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"B.1.560","USA","2020-05-23",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
