"lineage","country","date","N.R203K","N.G204R","ORF1a.G442V","ORF1a.I3619V","ORF1b.P314L","ORF3a.K75N","S.D614G","S.T95I","ORF1b.V1961I","ORF1a.E867G","ORF1a.V108I","ORF1a.V1477F","ORF1a.S2024L","ORF1b.S961L","N.G19V","ORF9b.D16Y","N.F363L","S.V1228L","ORF1a.N2111T","ORF1b.H2388N","S.A899S","ORF1a.T554I","ORF1a.P804S","S.V308L","E.P71L","ORF1b.P1427L","ORF1a.P971L","ORF1b.Y2276C","ORF7a.R118I","ORF1a.T224I","ORF1b.T1637I","ORF1b.S2212I","S.P681L","ORF1a.M3425I"
"B.1.1.308","United Kingdom","2020-09-10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-11",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-16",1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.308","United Kingdom","2020-09-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
