"lineage","country","date","N.D401Y","ORF1a.T265I","ORF1a.L3352F","ORF1b.P314L","ORF1b.S2212I","ORF1b.T2217I","ORF3a.Q57H","ORF3a.D155Y","ORF8.S24L","S.D178G","S.D614G","ORF1a.Y1465C","ORF1a.T2920A","ORF1a.H3076Y","ORF7b.F30L","N.Q9H","ORF9b.S6I","S.C1236F","ORF1b.T1038I","ORF1b.M1156I","ORF1b.M1596I","ORF3a.L52F","ORF1a.M3669I","ORF1b.L639F","ORF1b.T2376I","M.V70F","ORF8.P85S","N.P383S","ORF1a.A138V","ORF1a.S944L","ORF1a.S1520F","ORF1b.V1080L","S.I233V","ORF1a.T3750I","N.S202N","S.D215H","ORF1a.T999I","ORF1a.T1754I","ORF1b.G1126S","ORF1a.L3606F","ORF1a.E754K","ORF3a.G224V","ORF1b.V1077L","N.P80S","ORF1a.F3271L","ORF1b.A520T","S.A892S","ORF1b.T2631I","ORF1a.Q563H","ORF1a.C2210F","ORF1a.V3130F","ORF6.M1I","ORF7a.E95Q","ORF1a.S2030L","ORF1b.A434V","S.P479S","ORF1a.P1640S","ORF1a.L2874S","ORF1a.T4083M","ORF8.V116F","S.L5F","N.T379I","S.W258L","ORF3a.T175I","S.L212S","ORF1a.M1647I","ORF1b.P218L","ORF7a.F63H","ORF1a.A2584V","S.T29I","ORF1a.S1361P","ORF1a.A1397V","ORF1a.S2242F","ORF1a.L3027F","ORF1b.A2145V","ORF1b.K2340N","ORF3a.W131C","ORF7a.Q76H","S.S155I","ORF1a.M584V","ORF1a.P1921L","ORF1a.T2836I","ORF1b.L1220F","ORF1b.S2154F","E.P71L","ORF1a.G493S","ORF1b.P1177L","S.M1237I","ORF1a.R175C","ORF1a.E738Q","ORF1b.P1095S","ORF1b.C1740F","ORF3a.G174D"
"B.1.587","USA","2020-11-25",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2021-02-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2021-02-08",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-01",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-09",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-16",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-16",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-15",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2021-02-15",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.587","USA","2020-12-21",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
