"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","ORF1b.M657I","ORF1b.V1271L","ORF9b.A57V","S.D614G","ORF1b.T1637I","ORF3a.S58I","ORF1a.D1933G","ORF1a.T1854I","ORF3a.P240S","ORF1b.K771R","S.V127F","ORF1b.V839I","ORF1b.P2321L","ORF1b.T2376I","ORF1a.L2028M","ORF1a.S4398L","ORF1b.A1877T","ORF1a.A1151V","ORF1a.V3078I","ORF3a.T229I","ORF3a.I186T","ORF8.D63G","M.A40V","S.A879S","ORF1a.P1659S","ORF6.L4P","ORF1a.S135C","ORF1a.K120N","ORF8.V62L","ORF1a.P2685T","ORF1a.L3606F","ORF1a.S2114F","ORF1b.A651S","N.E136G","ORF1a.G728S","ORF1a.A3454V","ORF1b.G2297C","ORF3a.T14I","ORF3a.G187C","M.L34F","ORF1a.H3076Y","ORF1a.K1280N","S.E309Q","ORF1b.V1814F","ORF1a.T551I","ORF1b.V1787I","S.T51I","ORF1a.E1413D"
"B.1.532","United Kingdom","2020-08-28",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-09-09",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-09-24",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-09-24",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-09-24",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-10-01",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-10-06",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-10-07",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-10-07",1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.532","United Kingdom","2020-10-07",1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
