"lineage","country","date","ORF1a.A1283V","ORF1a.L3606F","ORF1b.P314L","ORF3a.K61N","S.D614G","ORF1b.V464F","ORF1a.E754D","ORF1a.P2055S","N.D348H","ORF1a.V1056L"
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,1,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,1,0,0,0,0
"B.1.383","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0
"B.1.383","Netherlands","2020-03-01",0,0,1,1,1,0,1,0,0,0
"B.1.383","Netherlands","2020-03-01",0,0,1,1,0,0,0,0,0,0
"B.1.383","Netherlands","2020-03-04",0,0,1,1,1,0,1,1,0,0
"B.1.383","USA","2020-03-19",0,1,1,1,1,0,0,0,0,0
"B.1.383","USA","2020-03-18",0,1,1,1,1,0,0,0,0,0
"B.1.383","United Kingdom","2020-06-01",0,1,1,1,1,0,0,0,1,1
