"lineage","country","date","N.T205I","N.N354S","ORF1a.P271L","ORF1a.N449D","ORF1a.A656V","ORF1a.A668V","ORF1a.L3027F","ORF1a.A4357V","ORF1b.P314L","ORF1b.V2117L","ORF3a.T89I","S.D614G","N.D399N","ORF1a.Q607H","ORF1b.K1431R","ORF3a.Y141C","N.G236D","ORF1a.A1432V","ORF1a.T4355I","ORF1b.D2234G","ORF8.S67F","ORF1a.T333M","ORF1b.V1149L","ORF1a.A565T","ORF1a.T2093I","ORF1a.L2564F","ORF1a.P4075S","ORF3a.Q185P","ORF1a.V1765I","ORF1a.D4085A","ORF1b.A2407V","ORF1b.S904L","ORF3a.P159S","N.R32H","ORF1a.A964V","ORF1a.D3936Y","ORF9b.A29T","S.V70F","S.N164S","ORF1a.T395A","ORF1a.S2273F","ORF1b.R2257S","ORF3a.A33V","S.T95I","M.K162N","N.Q380H","ORF1a.L204F","ORF3a.P262S","S.D88Y","ORF1a.D1440G","ORF1b.E1288D","ORF8.P38S","ORF1b.P970L","ORF1b.V2178F","ORF7b.D36Y","S.R847K","E.V24M","N.M234I","ORF1a.T265I","ORF1a.A1679S","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.V3847I","ORF3a.P42L","ORF3a.Q57H","ORF3a.P104L","ORF8.T11I","ORF8.A51S","S.D80G","S.F157S","S.L452R","S.T859N","S.D950H","ORF1b.L1681F"
"B.1.131","United Kingdom","2020-10-15",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-12-20",1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-10-29",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-10-29",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-11-08",1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-11-15",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-11-15",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-12-02",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-10-15",1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-10-15",1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.131","United Kingdom","2020-10-14",1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
