"lineage","country","date","N.Q39L","ORF1a.T265I","ORF1a.A498V","ORF1a.G519S","ORF1a.A1670V","ORF1a.T2791I","ORF1b.P314L","ORF1b.K2557R","ORF3a.L53F","ORF3a.Q57H","ORF3a.L95F","ORF3a.T223I","ORF9b.N36Y","S.D614G","S.D796Y","ORF1a.K1066R","S.T676P","ORF1a.G645S","ORF1b.K32R","ORF1b.M1499I","ORF1b.L1220F","ORF1b.Q2635H","S.K1073N","ORF1a.P732S","ORF1a.T1168I","ORF1b.V1149L","ORF7a.E22D","ORF1a.A429S","S.T29I","ORF1a.Q998H","ORF1a.D2592G","ORF1a.H2698Y","ORF1a.P971S","ORF1b.P1000L","ORF1a.N805S","ORF1a.K2085E","ORF1a.K3353N","S.K854N","S.M900I","ORF1a.L3606F","ORF1a.L890F","N.N213Y","ORF1a.S2661F","ORF3a.T175I","ORF8.K68E","ORF1a.L2738V","ORF1b.R1315C","ORF1b.C3Y","ORF1b.E1288D","ORF1a.P748L","ORF1b.I1998V","ORF1b.K2579N","ORF1a.L2738S","ORF1b.S1881I","ORF1a.A3454V","ORF1b.H563Y","ORF1a.M789I","ORF1a.H3076Y","ORF1b.A545S","ORF1b.V711I","ORF1a.T4161I","ORF1b.A1312S"
"B.1.337","USA","2021-02-20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-11-12",1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-12-30",1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-11-30",1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-11-30",1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-09-18",1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-09-24",1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-10-05",1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-10-06",1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.337","USA","2020-10-16",1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
