"lineage","country","date","M.I82T","N.D63G","N.R203M","N.D377Y","ORF1a.L1182F","ORF1a.T1240I","ORF1a.I1525V","ORF1a.P1640L","ORF1a.V3056I","ORF1a.A3209V","ORF1a.V3718A","ORF1a.T3750I","ORF1a.D4344V","ORF1b.P314L","ORF1b.G662S","ORF1b.P1000L","ORF1b.V1133I","ORF3a.S26L","ORF3a.A110S","ORF7a.V82A","ORF7a.T120I","ORF8.G66V","ORF9b.T60A","S.T19R","S.G142D","S.R158G","S.A222V","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","M.S197N","ORF1a.S318L","ORF1a.A1306S","ORF1a.P2046L","ORF1a.P2287S","ORF1a.A2785T","ORF1a.V2930L","ORF1b.A1918V","ORF3a.G224C","ORF1a.P153L","ORF1b.R2613N","N.G215C","ORF1a.K1066E","ORF1a.T3255I","ORF1b.V1493L","ORF1b.D2090Y","ORF3a.G76S","ORF3a.E239Q","ORF7b.T40I","S.D215Y","S.R237S","ORF1a.L3606F","ORF1b.T1050I","ORF3a.P25S","M.A85V","M.A2T","ORF1a.I849V","ORF1a.P971S","ORF1b.I828V","ORF1a.T3646A","ORF1a.I71V","ORF6.D61L","N.P80S","ORF1b.P1570L","ORF1b.S1898F","ORF7a.L116F","ORF1a.I1206V","ORF1a.T3904I","ORF1b.D1869Y","ORF3a.V202L","ORF1a.P4389L","S.S112L","S.K558N","ORF1a.I694T","ORF1a.I300V","ORF1b.D2179H","ORF1b.V2223L"
"AY.69","Denmark","2021-07-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","Germany","2021-06-20",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","Germany","2021-07-22",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","Slovakia","2021-07-01",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-10-04",1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-11-22",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-10-20",1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-08-22",1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-10-17",1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.69","USA","2021-12-03",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
