"lineage","country","date","N.R203K","N.G204R","ORF1a.T2952I","ORF1b.P314L","ORF1b.T1522I","ORF1b.P2256S","ORF1b.P2633S","ORF7a.Q94L","S.D614G","S.V1122L","ORF1a.D139N","ORF1b.P218L","ORF1a.E237K","ORF3a.P104L"
"B.1.1.302","United Kingdom","2020-11-05",1,1,1,1,1,1,1,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-07-16",1,1,1,1,1,1,0,1,1,1,1,1,0,0
"B.1.1.302","United Kingdom","2020-08-21",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-08-27",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-08-27",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-08-27",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-10-16",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-10-16",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-10-16",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-10-21",1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.302","United Kingdom","2020-08-24",1,1,1,1,1,1,0,1,1,1,0,0,1,0
"B.1.1.302","United Kingdom","2020-10-01",1,1,1,1,1,1,0,1,1,1,0,0,0,1
