"lineage","country","date","N.A220V","ORF1a.R2638Q","ORF1b.T17I","ORF1b.P314L","ORF1b.M2269I","S.A222V","S.D614G","ORF1a.C1114F","ORF3a.S165F","ORF1a.T4083M","ORF1a.P2739L","ORF1b.K2200R","ORF1b.H2285Y","S.M1237I","ORF1a.T1637I","ORF3a.T270I","S.K1245R","ORF1a.R3880G","ORF1b.N734T","ORF1a.S1478F","ORF1a.E4319A","ORF7a.T14I","ORF1a.N363S","ORF1a.A2554T","ORF1b.T67N","ORF7a.A50S","S.V3G","S.S929I","ORF1a.S3344F","ORF1a.P4220L","ORF1a.M1378T","ORF1a.P2144S","ORF1b.M2260T","S.I68L","ORF3a.T12I","ORF1a.S443F","ORF1b.T1555I","ORF1a.H374Y","ORF1a.D2136N","ORF1b.A1831V","ORF1b.L2523F","S.S98F","S.L5F","S.V911I","ORF1a.S4398L","ORF9b.F69S","ORF1a.P1120L","ORF1a.S3564L","ORF1b.I1823V","ORF1b.I2194V","M.H155Y","ORF1b.Q2663H","ORF7a.P84S","ORF3a.K67N","S.G261V","ORF1a.I473V","ORF1a.T1773I","ORF1a.C3790S","ORF1b.P1645S","ORF1a.L3313F","S.V127F","S.G184S","ORF1a.H3076Y","ORF1b.I1799T","ORF1a.G445V","ORF1a.P3359S","S.Q607H","ORF1a.L700F","S.C1243F","N.G34W","ORF1a.L3338F","ORF1a.A3070V","ORF7a.F87I","ORF8.L22S","ORF1b.E735D","ORF1a.I1276T","S.G769V","S.F490L","ORF3a.T190I","N.Q289H","ORF1a.A405T","ORF1b.T797I","ORF1a.K1350E","ORF1a.L4111F","S.A67V","ORF1a.S428G","ORF1a.E1766K","ORF1a.T2967I","ORF8.A65T","ORF1b.R1729C","ORF1a.P2018L","ORF1a.A1298V","ORF1a.V3858L","ORF1a.K798N","ORF7a.H47Y","ORF7a.P34S","ORF1a.K1202N","ORF1a.P1497S","ORF7a.P45L","ORF1a.T2087I","ORF1a.E2946G","S.E554G","ORF1a.K351N","ORF1b.A1190V","ORF3a.D265N","ORF1a.V2866L","S.Y265F","ORF1a.T814I","ORF1a.P2221S","ORF1b.N1684H","ORF1a.I3415M","ORF7a.T28I","N.M234I","ORF7a.T61I","ORF1a.S2797F","ORF1b.V1538I","ORF7a.P99L","ORF9b.P51L","ORF1a.A3209V","ORF1a.V3763F","ORF1a.V3261I","S.T716I","ORF1a.V28L"
"B.1.177.77","United Kingdom","2020-08-26",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","United Kingdom","2021-01-22",1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","United Kingdom","2021-03-01",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","United Kingdom","2020-12-14",1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","France","2021-02-13",1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","France","2021-02-13",1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","France","2021-02-22",1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","New Zealand","2020-12-29",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","Germany","2021-01-19",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.77","Germany","2021-01-25",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
