"lineage","country","date","ORF1b.P314L","ORF1b.E1288D","ORF3a.Q57H","S.D614G","N.G238C","ORF1a.A206V","ORF1a.A876T","ORF1a.L2062F","ORF1b.L820F","ORF3a.W69G","ORF8.V62L","ORF1a.T2016I","ORF1b.S997P","ORF1b.R1171G","S.S255F","ORF8.S67F","N.M234I","ORF1a.M3087I","ORF1b.A176S","ORF1b.V767L","ORF1b.Q813H","ORF1b.E1184D","ORF1b.A1369S","ORF7a.F6L","S.S477N","N.D377Y","ORF1a.E1015A","ORF1a.E2050K","S.L1063F","S.Y1215H","ORF1a.V1143F","ORF1a.I1502V","ORF1a.H110Y","ORF1b.A2601S","ORF8.D35Y","ORF3a.L101F"
"B.1.468","United Kingdom","2020-06-16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Hong Kong","2021-01-18",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Hong Kong","2020",1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Malaysia","2020-04-02",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Germany","2021-01-27",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Germany","2020-11-22",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-06-27",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-07-17",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"B.1.468","Saudi Arabia","2020-04-24",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-04-01",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-04-26",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"B.1.468","Saudi Arabia","2020-06-15",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-06-03",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.468","Saudi Arabia","2020-06-23",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.468","Saudi Arabia","2020-06-11",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.468","Saudi Arabia","2020-06-15",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"B.1.468","Saudi Arabia","2020-06-27",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-02-13",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.468","Saudi Arabia","2020-02-18",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
