"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","ORF3a.T151I","ORF8.A65V","S.D614G","ORF1a.T614I","ORF1a.P971L","ORF1b.G2005V","ORF3a.V88L","N.T296I","ORF1b.F1296L","N.L139F","ORF1b.C2551F","N.P13L","ORF9b.P10S","ORF1a.L1253F","ORF3a.G100C","ORF1a.S428G","ORF1b.A1643S","ORF1b.G1217S","ORF1b.D1899Y","ORF1a.K2148R","ORF1b.A538V","ORF3a.L108F","N.R95L","ORF9b.V92L"
"B.1.1.256","United Kingdom","2020-05-21",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-13",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-24",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-25",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-15",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-07-03",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-07-03",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-07-03",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-07-02",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-30",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-24",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-24",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-07",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-11",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-11",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-18",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-16",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-18",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-18",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-18",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-15",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-11",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-13",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-08",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-08",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-12",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-20",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.256","United Kingdom","2020-06-20",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"B.1.1.256","United Kingdom","2020-06-21",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-21",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-10",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-13",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.256","United Kingdom","2020-06-11",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"B.1.1.256","United Kingdom","2020-06-24",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
