"lineage","country","date","ORF1a.T1001I","ORF1a.A1708D","ORF1a.I2230T","ORF1a.F2780L","ORF1b.P314L","S.N501Y","S.D614G","S.T716I","S.S982A","N.S235F","ORF1a.T214A","ORF8.R52I","S.D1118H","ORF8.Q27.","N.D3L","N.M234I","ORF1a.L1317S","ORF1a.S2466I","ORF8.Y73C","S.S221F","S.A222V","S.S477N","ORF1a.A307V","ORF1a.G1125C","N.A220V","ORF1a.W3004S","ORF1a.D4105Y","ORF1b.Y1944.","ORF1b.V2475D","N.N8Y","N.I157V","N.D401Y","ORF1a.T1881I","ORF3a.S180F","ORF8.T11I","ORF9b.K4N","S.L18F","S.N148T","S.A688V","S.G769R","S.T1027I","ORF8.L118V","ORF8.F120L","ORF1a.S610L","ORF1a.T2087I","ORF1a.S2242F","ORF3a.K16N","S.Q804H","ORF1a.P927L","ORF1b.S2526G","S.L5F","ORF1a.V106I","ORF1a.K1202N","ORF1a.T1682I","ORF1a.T1854I","ORF1a.R2115K","ORF1b.T1137I","ORF1b.E1288D","ORF1a.G4177R","ORF1a.A4016V","ORF1a.A1631V","ORF1a.A3270T","ORF1a.G3676S","ORF1a.F3677L","ORF1a.A2554V","ORF1b.G662S","ORF3a.S26L","ORF7a.V82A","S.G142D","S.R158G","S.D950N","ORF1a.T265I","ORF1a.L730F","ORF1a.T814I","ORF1a.D935G","ORF1a.V2580A","ORF1a.L3201P","ORF1a.P3504S","ORF1a.M3712V","ORF1b.Q1011H","ORF3a.G18V","ORF3a.S60Y","ORF1a.A339V","ORF1a.S376L","ORF1a.P1472L","ORF1b.P1452L","ORF1a.M4012I","ORF1b.R1365Q","ORF1b.D1988N","N.P365S","ORF1b.Q813H","S.E484K","ORF1a.S3099L","ORF1a.M806I","ORF1a.P1096L","N.A336S","ORF1b.M1359V","ORF1b.A2143V","ORF1a.T340I","ORF1a.G445C","ORF1a.L1034F","S.T167S","S.T572I","N.P199L","ORF1b.D1183Y","ORF3a.P42L","ORF3a.Q57H","S.A701V","ORF7b.A15S","ORF1a.R77Q","ORF1a.N3212S","ORF1a.V60A","ORF1a.A516V","ORF1a.A3571V","ORF1b.T310I","N.N354S","ORF1a.A537V","ORF1b.P1666S","S.R158S","S.S735A","ORF1b.E2544D","N.H300Y","ORF1a.I2790T","S.L18R","S.N764K","S.Q173L","ORF8.C102F","ORF1a.T2202S","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF1a.H1613Y","ORF1a.A1679S","ORF1a.A2345V","ORF1a.K3162E","ORF1a.A3209V","ORF1b.G1338S","ORF3a.A33S","ORF7a.P34S","ORF8.K68.","S.D80G","S.F157S","S.L452R"
"B.1.636","Germany","2021-01-24",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Germany","2021-03-06",1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Germany","2021-03-09",0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Germany","2021-06-16",0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Switzerland","2021-03-30",0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Switzerland","2021-07-03",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","Switzerland","2020-12-16",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","USA","2021-05-17",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","USA","2021-05-21",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.636","USA","2021-03-02",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
