"lineage","country","date","N.Q386H","ORF1a.P892S","ORF1b.P314L","S.D614G","ORF1b.K2646N","N.T16M","N.G34W","N.S194L","N.G204R","ORF1a.P3371S","ORF1a.R3542C","ORF1b.P2256L","ORF7b.E39.","ORF9b.R13C","S.V126A","ORF1a.L27F","ORF1a.D1440G","ORF1a.T2283I","ORF3a.A23S","ORF3a.R122I","ORF3a.H227R","S.V1122L","S.C1235F","N.R203S","N.T362A","ORF1a.G3757S","ORF1a.A4044T","ORF1b.M1156I","ORF3a.D183G","ORF1a.P2046S","ORF1b.T797I","S.A879S","ORF1a.A3956T","M.S214I","ORF1b.G1638C","ORF1a.T319I","S.T791K","ORF1b.V2034I","ORF3a.C130S","ORF1a.L3606F","S.N556K","ORF1a.L1713I","N.G238C","N.M234I","ORF1a.K1668R","ORF3a.W193C","ORF1a.D1547Y","ORF1b.H1619Y","ORF1a.S3973F","ORF1a.V3976F","N.R209K","ORF1a.V3689G","ORF1a.F2209L","ORF7a.V24F","ORF1a.G445S","ORF1a.L3313F","ORF1a.T1760I","ORF1b.T2537I","ORF3a.F43L","ORF3a.S177I","ORF1a.W646L","ORF1a.A1043V","ORF1a.T1665I","ORF1a.N2736H","ORF1a.A3454V","ORF1a.L3711F","ORF1a.A2554V","S.F338L","S.G257C","ORF1b.T1743I","ORF3a.R6T","ORF1b.P1095S","ORF1a.S505P","N.S327L","N.K387R","ORF1a.V2019F","ORF1a.P748L","ORF1b.V2117I","ORF1b.S961L"
"B.1.199","Chile","2020-05-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-03-18",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2021-02-12",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-12-14",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-12-14",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-03-16",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-10-13",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-10-19",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-03-19",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.199","USA","2020-03-17",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
