"lineage","country","date","E.V49L","ORF1a.T265I","ORF1a.M902V","ORF1b.P314L","ORF3a.Q57H","ORF8.S24L","S.D614G","ORF1a.V1550F","ORF1a.K2622N","ORF1b.H1213Y","ORF7a.T39I","S.K1191N","M.N74S","ORF1a.H919Y","ORF1a.S1272N","S.H69Y","ORF1a.G392D","ORF1b.P1645S","S.I818V","ORF1a.A687T","ORF1a.P4337S","ORF1b.V2117L","ORF1a.V1058I","ORF1b.M1839I","ORF1a.S318L","ORF1a.L578M","ORF1a.G1294S","S.Q675H"
"B.1.590","USA","2020-03-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-03-17",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-06-13",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-06-15",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-06-24",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-06-20",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-06-23",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.590","USA","2020-06-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"B.1.590","USA","2020-06-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"B.1.590","USA","2020-06-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"B.1.590","USA","2020-06-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"B.1.590","USA","2020-06-23",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.590","USA","2020-06-27",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.590","USA","2020-07-01",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
"B.1.590","USA","2020-07-05",0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
