"lineage","country","date","N.S194L","N.R203M","ORF1a.V561A","ORF1a.V2588F","ORF1b.P314L","ORF1b.M657I","ORF3a.Q57H","ORF8.S67F","S.G75R","S.D614G","ORF1a.T1731I","ORF1a.P2018S","ORF1a.S2535L","ORF1a.L3606F","ORF1b.L169F","ORF1b.A869S","ORF3a.V259L","S.P479L","ORF1a.I2156V","ORF1a.F3138C","ORF1b.T67I","ORF1b.L1504F","ORF1b.R2613C","ORF1b.A2559S","ORF1a.N470T"
"B.1.36.18","Hong Kong","2020-09-06",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","Hong Kong","2020",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","Hong Kong","2020",1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.36.18","India","2021-01-08",0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"B.1.36.18","New Zealand","2020-08-30",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","New Zealand","2020-08-30",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","New Zealand","2020-09-08",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","New Zealand","2020-09-17",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.36.18","New Zealand","2020-09-19",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.36.18","New Zealand","2020-09-19",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.36.18","New Zealand","2020-09-21",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.36.18","New Zealand","2020-09-21",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.36.18","New Zealand","2020-09-21",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.18","Switzerland","2020-12-31",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"B.1.36.18","USA","2020-12-22",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
