"lineage","country","date","N.R203K","N.G204R","ORF1a.N2187S","ORF1a.L3606F","ORF1b.P314L","S.D614G","ORF1b.A1525S","ORF1a.T3284I"
"B.1.1.361","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-25",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-25",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-25",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-07",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-18",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-13",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-08",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-08",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-13",1,1,1,1,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-04",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,0,1,1,0,0
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,0,1,1,1,0
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,0,1,1,0,1
"B.1.1.361","United Kingdom","2020-06-10",1,1,1,0,1,1,0,0
