"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","S.D614G","ORF1a.G2581S","N.S37P","ORF1a.E1614A","ORF1a.P4075S","ORF1b.T132I","ORF1b.M2269I","ORF1b.N2574S","N.R209G","ORF1a.V1798L","ORF1a.A872T","ORF1a.A2909V","ORF1a.P2950S","S.S640F","ORF8.K68E","N.A251V","N.D402Y","ORF1a.L149P","ORF1b.T861I","ORF1a.S549F"
"B.1.1.437","USA","2020-06-20",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-06-19",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-11-17",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-07-06",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-07-10",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-06-25",1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-07-08",1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-08-12",1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-08-12",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-07-07",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"B.1.1.437","USA","2020-07-26",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.437","USA","2020-08-17",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.1.437","USA","2020-08-18",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"B.1.1.437","USA","2020-09-03",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"B.1.1.437","USA","2020-06-30",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
