"lineage","country","date","N.A220V","ORF1a.A1812V","ORF1b.P314L","ORF1b.P1097S","S.A222V","S.D614G","ORF1a.T708I","ORF1b.R2257S","ORF7a.R80I","ORF1a.P197S","ORF1a.P2018S","ORF1a.T2283I","ORF1a.G865S","ORF1b.T1137I","ORF1b.G2510C","S.P809S","ORF1a.V2665F","ORF1a.A4357V","ORF1a.A2123V","ORF1a.N1611T","ORF1a.L4037F","ORF1a.I1301V","ORF1a.S2242F","ORF1a.S2389L","ORF1a.D2833N","ORF1a.K262E","ORF1a.A1997V","ORF1a.D2833G","N.P383L","N.G178S","ORF3a.P42L","ORF1a.T2121I","ORF1a.Q2639P","S.N928T","N.M234I","ORF1a.I2663V","ORF7a.P34S","S.A688V","ORF1b.R2257W","ORF1a.V862I","N.P6L","ORF1a.P971S","ORF1a.L1182F","ORF1a.A3529V","ORF1b.V1271L","ORF6.M19I","ORF9b.P3S","S.S939F","ORF1a.H2125Y","ORF1a.T3857I","S.L5F","ORF1a.V3261I","S.A846V","ORF1a.H2659Y","ORF1b.L629F","ORF7b.H42L","ORF7b.A43.","ORF1b.Q2335H","ORF1a.D2813E","M.T175M","E.R69T","ORF1a.P1018L","ORF1a.F3089L","S.P728S","ORF1a.S1478P"
"B.1.177.32","United Kingdom","2020-11-22",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-11-15",1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2021-01-19",1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2021-01-19",1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-10-15",1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-11-13",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-11-13",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-12-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","United Kingdom","2020-12-03",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.32","Iceland","2021-01-03",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
