"lineage","country","date","N.R203K","N.G204R","ORF1a.K1230N","ORF1a.D1962E","ORF1b.P314L","ORF1b.I2273S","S.D614G","ORF1a.V3759F","ORF3a.S74F"
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,0,0,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-20",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-24",1,1,1,1,1,1,1,1,0
"B.1.1.450","USA","2020-11-24",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-24",1,1,0,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-24",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-28",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-11-28",1,1,1,1,1,1,1,1,0
"B.1.1.450","USA","2020-11-29",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-12-09",1,1,1,1,1,1,1,0,0
"B.1.1.450","USA","2020-12-09",1,1,0,1,1,1,1,0,1
