"lineage","country","date","N.S190I","ORF1a.T265I","ORF1a.T602I","ORF1a.K3353R","ORF1a.L4064I","ORF1b.P314L","ORF1b.T1339I","ORF3a.Q57H","ORF3a.G174D","ORF6.T45I","ORF8.G8V","S.D614G","ORF1a.E489K","ORF1a.G1125S","ORF1a.L2503F","ORF1a.S2797F","ORF1b.K2435R","S.D80N","ORF1a.T2274I","ORF1a.L3606F","N.A152S","ORF8.I71V","N.P151L","ORF1a.P971S","ORF1a.M2096V","ORF1b.V2368F","ORF6.H3Y","ORF1a.R550C","ORF1b.S2324I","ORF3a.V163L","ORF1a.E775G","S.P561S","ORF1a.G1307S","ORF7b.A43V","ORF1a.V2930I","ORF1a.T4066I","S.P1162L","ORF1a.T1538I","ORF1a.T2300I","ORF1a.G400S","ORF1b.T1038I","ORF1b.E735D","ORF1a.H1113Y","ORF1a.H2092Y","ORF1b.A2222V","ORF1a.T2016I","ORF1b.A517E","S.L249S","ORF1a.A535T","ORF1a.V660I","ORF1b.S2338L","ORF1a.T4161I","ORF1b.T797I","S.T22I","ORF1a.I1005T","ORF1b.V1021F","ORF1b.I1227V","ORF1b.M2024V","ORF1b.V2365F","ORF1a.S216F","ORF1a.T1876I","ORF1b.A2028V","ORF3a.T268M","ORF1a.V3718F","N.S193I","ORF1a.T1246I","ORF1a.A1602G","ORF1a.R4038K","ORF1b.L1099F","ORF9b.R32H","S.V62L","ORF1a.A541V","ORF1a.L1115F","ORF1a.A1342V","ORF1a.P2950S","ORF1b.M2260L","ORF6.T21I","ORF1a.N1830S","ORF7a.T115I","ORF1b.D436N","ORF1b.V2199I","S.K1073N","ORF1a.I1153V","ORF1a.E1564D","ORF3a.V55F","S.S151I","ORF1b.P1821L","ORF1a.E1237D","ORF3a.A110V","S.A27S","ORF1a.E1196G","ORF1b.D1869N","ORF1a.A4273S","ORF1a.V4242I","ORF6.L29F","N.A398V","S.P812S","ORF1a.V3689I","S.T76I","ORF1a.G519S","ORF1b.M1156I","ORF1b.P2612L","ORF1b.R2613N","S.V608I","S.E1202Q","S.S162R","ORF1b.H563Y","ORF8.V32I","S.A243S","S.E281A"
"B.1.568","USA","2021-03-01",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-03-03",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2020-12-28",1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-01-15",1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-01-14",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-01-24",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-01-23",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-03-13",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-02-20",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.568","USA","2021-01-11",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
