"lineage","country","date","N.S194L","ORF1a.L1748M","ORF1a.A2345V","ORF1a.L3606F","ORF1b.P314L","S.L18F","S.D614G","N.A308S","ORF1a.T1542I","ORF8.S67Y","ORF1a.T2283I","ORF1a.D4076E","ORF1b.S961L","S.C1243F","ORF1a.L1379F","ORF1a.P3395S","ORF1a.Q1943H","ORF1a.T4354I","S.P384L","ORF1b.K2579N","N.T24N","ORF9b.L21M","ORF1a.L451F","ORF1a.H134R","N.H145Y","ORF1a.N3537D","ORF1b.D54Y","ORF9b.R32L","ORF3a.V55A","ORF1b.N1519S","ORF1a.M1378I","ORF3a.I35T","N.L167F","ORF1a.T2068P","ORF6.D6M","ORF1b.H998D","S.I68T","ORF1a.S2500F","ORF1a.R226K","N.G212C","ORF1a.S2114F","ORF1a.P371S","ORF1a.S443P","ORF1a.P1220L","ORF1b.G1356C","ORF3a.H93Y","ORF1b.H2285Y","ORF1a.N2894S","ORF1b.L627F","S.G1267V","ORF8.H17Y","ORF1a.P153L","S.V395I","ORF1a.S1857A","ORF1b.A927V","ORF1b.L1504F","S.L54F","ORF1a.S308L","S.A1020V","ORF1a.R4053K","N.N192D","ORF1b.R1687C","ORF1a.T1001I","ORF1a.A1352V","ORF7a.E95Q","ORF1a.S2273F","ORF1a.N1442H","N.P383S","ORF1a.T1543I","ORF1a.H3233Y","ORF7a.A55V","ORF1a.A540V","ORF1a.P1541S","ORF1b.A1291S","ORF1a.H388Y","ORF9b.S63F"
"B.1.610","United Kingdom","2020-08-09",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-10",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-10",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-10",1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-10",1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.610","United Kingdom","2020-09-16",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
