"lineage","country","date","N.S186Y","N.D377Y","ORF1a.T265I","ORF1a.T945I","ORF1a.T1567I","ORF1a.A2994V","ORF1a.Q3346K","ORF1a.V3475F","ORF1a.M3862I","ORF1b.P255T","ORF1b.P314L","ORF1b.K1863N","ORF3a.Q57H","ORF7a.R80I","S.D80Y","S.D614G","ORF1a.A656V","ORF1a.R1404C","ORF1a.S2030L","ORF1a.D2136N","ORF1b.T1137I","S.L5F","ORF1b.M1573I","N.M210I","ORF1a.R1170C","ORF1a.L3606F","ORF1b.K469N","ORF1a.A3945V","ORF1b.A1491V","ORF1b.T2084I","S.D1118Y","ORF3a.K21N","ORF3a.S40L","N.Q9H","ORF9b.S6I","S.T547I","ORF1b.A2513T","S.I850V","S.R683W","ORF1a.H110Y","ORF1b.A1259T","ORF7a.A105S","N.A55S","ORF1a.E899D","S.I794V","S.T73I","N.D63Y","ORF9b.K59N","ORF1a.L2778F","ORF1b.S1089L","ORF1b.P1427L","N.V270L","ORF1b.M1499I","ORF1a.M4241I","ORF1b.H1213Y","S.L189F","S.V772I","ORF1a.T1637I","ORF1b.T2445I","ORF8.A65S","ORF1a.M2796V","ORF3a.D155Y"
"B.1.367","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-09-16",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-09-24",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-10-01",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-10-07",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.367","United Kingdom","2020-10-07",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
