"lineage","country","date","ORF1a.T265I","ORF1a.A1283V","ORF1b.P314F","ORF3a.Q57H","S.D614G","ORF1a.K1202N","ORF1a.S1952L","ORF1a.L3313F","ORF1a.P3613S","ORF1b.M1839I","ORF1a.S3675F","ORF1a.T4302I","ORF1a.D3296E","ORF1a.T2121I","ORF1a.M3129I","ORF1a.L3606F","ORF8.L98I","S.Q677H"
"B.1.586","USA","2020-05-14",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-05-04",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-10-26",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-10-26",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-27",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-19",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-30",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-21",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-27",1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"B.1.586","USA","2020-03-18",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-12",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B.1.586","USA","2020-03-24",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.586","USA","2020-05-18",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.586","USA","2020-03-16",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.586","USA","2020-07",1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1
"B.1.586","USA","2020-04-02",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
