"lineage","country","date","N.A155V","ORF1a.L204F","ORF1a.T1001I","ORF1b.P314L","ORF3a.D22Y","ORF3a.Q57H","S.D614G","ORF1a.A372V","ORF1b.H716Y","ORF1b.V1279F","ORF7a.H47Y","ORF1b.K2557R","ORF1b.L1676F","ORF1a.I3944T","ORF1a.T2121I","ORF1a.L3606F","ORF1a.A3705V","ORF1a.T4219I","S.K97T","ORF1b.T1173A","ORF1a.T2977I","ORF1a.K2555R","S.S98F","ORF1a.L1130F","ORF1b.A7V","ORF1a.P1786L","ORF1a.N278D","ORF1a.P2483S","ORF1a.P1640S","ORF1b.A1244T","ORF1a.S279F","ORF1b.P1727S","M.Y199C","ORF1a.G392S","ORF1b.V1228A","ORF1b.A2021V","S.A222V","ORF1a.S383I","ORF1a.A1380T","ORF1a.C2459Y","S.I203M","ORF1a.A2909T","ORF1b.A630V","ORF1a.L1559I","ORF1a.A876V","ORF1a.E772K","ORF7a.R118I","ORF1a.S2599A"
"B.1.162","USA","2020-06-30",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-03-22",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-04-11",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-05-30",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-07-16",0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-03-26",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-09-28",0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-09-28",0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-03-25",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-03-22",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-04-15",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.162","USA","2020-04-02",0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
