"lineage","country","date","E.A41S","N.M234I","N.A376T","ORF1a.M3087I","ORF1b.A176S","ORF1b.P314L","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.D27Y","ORF3a.Q57H","S.S477N","S.D614G","ORF1a.A2994T","N.T362I","ORF7a.T120I","ORF3a.T248A","ORF1a.D582G","ORF1a.T3058I","ORF1b.D1130A","ORF7a.S81L","ORF1a.T2910A","ORF1a.A3657V","ORF1b.M2414T","ORF8.Q29.","ORF1a.S216F","ORF1a.A1708T","ORF1b.R1315C","ORF1b.I1598V","N.T379I","ORF1a.P271S","ORF1b.I2320T","ORF7a.S83L","S.C1243F","ORF1a.T3287I","ORF1a.A3456S","ORF1b.C455F","ORF1a.D147Y","ORF1a.S1587L","ORF1b.S598N","ORF7a.L17F","ORF7a.C113Y","ORF1a.A3686T","ORF1b.S2338L","ORF1b.H2516Y","ORF1a.A3648S","ORF1a.T2158I","ORF1b.L1423F","ORF1a.Q4100H","S.V1068A","ORF1a.T2846I","ORF1a.P3447L","ORF1a.G1100S","ORF1a.T4083M","ORF1a.P4261L","ORF6.W27L","ORF1a.T3940I","ORF3a.T270I","ORF1b.G2127S","ORF1a.V2586D","N.M322I","ORF1a.P892S","N.Q163K","ORF1b.H873Q","ORF1a.A3523V","ORF1b.A1884V","ORF1a.G442S","ORF1a.R398H","ORF7a.Q62H","ORF1a.S302F","ORF1b.K523Q","ORF1b.W1090R","ORF1a.S308L","ORF8.A51V","ORF3a.K21N","ORF1a.L2176M","ORF1a.F3122L","ORF1a.H110Y","ORF1a.T2335I","ORF1a.D2980N","ORF1a.A3143V","N.A251V","ORF7b.L25F","S.L5F","ORF1b.L1504F"
"B.1.160.31","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Switzerland","2020",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Switzerland","2020",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Switzerland","2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Switzerland","2020",0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Germany","2021-02-02",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Germany","2021-02-22",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Germany","2021-03-05",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.31","Germany","2021-03-19",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
