"lineage","country","date","ORF1a.S528P","ORF1a.L1774I","ORF1a.L2062F","ORF1a.T4265I","ORF1b.P314L","ORF1b.Q1786H","ORF1b.A2222V","S.D215Y","S.D614G","N.S194A","ORF1a.D1742G","S.R78M","ORF1a.Q1813H","ORF1a.E3310K","ORF1b.V1170F","ORF1b.S2212I","ORF3a.W69L","ORF3a.D155Y","ORF3a.W193C","S.A688V","ORF8.S24L","ORF1a.R1386C","ORF1a.S1517F","ORF1a.L3606F","N.Q9H","ORF9b.S6T","S.P384L","ORF1a.H417Y","ORF1a.A656V","ORF1a.N2111S","S.A706V","ORF3a.G172V","ORF7b.C41S","ORF1a.K1655N","ORF1b.K2063N","ORF3a.G254V","S.A1078V","ORF1a.P1921L","ORF1a.V116L","ORF1b.T1637I","ORF1a.A3209V","N.N192K","ORF1a.S2488F","S.A262S","S.K1157N","ORF1a.L1016F","ORF1a.T3462H","ORF3a.T270I","ORF1a.S549F","ORF3a.G254.","ORF3a.P262L","ORF1b.S936L","ORF1a.T2124I","N.D144H","ORF1a.L3041F","ORF1a.H3343Y","N.P383L","ORF1a.T2093I","ORF1a.S2500F","ORF1b.S1023G","ORF8.Q27.","ORF8.R52I","ORF1a.M3862L","ORF1b.M2025I","ORF1a.V108I","ORF1a.E2063K","ORF1b.Y1192C","ORF1b.P2633S","ORF1a.L320I","ORF1a.L1556F","ORF1a.L2329V","ORF1a.T861I","ORF1b.N1654S","ORF3a.V90F","E.L73F","ORF1a.S2103F","ORF1b.G1129V","ORF9b.P10R","ORF1a.P626L","ORF1a.T3255I","N.G238C","ORF1a.A520V","ORF1b.T2084I","ORF3a.T176I","ORF1a.K564N","ORF1a.K680N","ORF1a.S1515F","ORF3a.A39T","S.N501Y","ORF1a.S2114F","ORF1a.E2049V","ORF1b.R1315C","ORF1a.P380H","ORF1a.C2064Y","ORF1b.K2367N","S.Q677H","N.T391I","ORF1a.E2K","ORF1a.D1036A","ORF1a.A1923V","ORF1a.A2584V","N.R209I","ORF1a.S1612L"
"B.1.126","USA","2020-10-08",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2020-10-08",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2020-10-08",1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-01-24",0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-01-23",0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2020-11-24",1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-01-26",0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-02-02",0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-01-31",0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.126","USA","2021-01-14",0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
