"lineage","country","date","M.M84T","N.S235F","ORF1a.D144A","ORF1a.K1202N","ORF1a.P1321S","ORF1a.P1803S","ORF1a.L2524F","ORF1b.P314L","ORF1b.Q2070H","ORF3a.I158V","S.D614G","S.S640F","ORF1a.L3606F","ORF1a.T1597I","ORF1a.T1001I","ORF1b.A2655V","S.T941A","S.M1229L","ORF8.V62L","ORF1a.S2242F","ORF1a.S2246L","ORF3a.Q185H","ORF8.A55V","ORF1b.I192T","ORF1b.P2531S","N.Q289H","ORF1a.T1840I","ORF8.D75N","S.P26S","S.A520S","ORF8.S21N","N.I292T","ORF1a.S2214L","ORF1a.I2709V","ORF1b.T1336A","ORF1b.H1979Y","ORF3a.P262L","S.V1122L","ORF1a.P971L","ORF1a.P4197L","ORF1b.T132I","ORF1b.P1567S","ORF1a.S944L","ORF1b.M2657I","ORF1a.K1763R","ORF1a.H2520Y","ORF1a.S376L","ORF1a.S2797F","ORF1a.L4386F","N.P13T","ORF9b.H9Q","ORF1a.D762G","ORF1b.A1377V","S.G72R","ORF1a.G3458D","ORF3a.L108F","S.L5F","ORF1a.A591V","ORF1a.V3759G","ORF1a.M2606T","ORF1a.K3979N","ORF1b.K2557R","ORF1a.R73C","ORF3a.E191K","S.K854N","ORF8.F3S","S.C1248F","ORF1a.E2053K","ORF1a.S3244L","ORF1a.K3351R","ORF1a.S3874L","ORF1b.P970S","ORF1b.A1219S","ORF1a.D139G","ORF1a.L1186I","ORF1a.K2798R","N.V270L","ORF1a.G295C","ORF1b.Y2276F","ORF9b.T83I","S.S98F","S.M153I","ORF1a.G2294S","ORF1b.G2197S","ORF1a.I573V","ORF1a.R1566K"
"B.1.139","USA","2020-12-30",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2021-01-13",0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2021-02-08",0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-10-07",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-10-19",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-10-17",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-12-01",0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-12-01",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-12-18",0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.139","USA","2020-12-16",0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
