"lineage","country","date","N.A220V","ORF1a.A3623S","ORF1b.P314L","S.A222V","S.D614G","S.L18F","N.P365S","ORF7b.S5L","ORF1a.L3711F"
"B.1.177","Italy","2020-11-04",1,1,1,1,1,0,0,0,0
"B.1.177","Germany","2021-04-12",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-12",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-12",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-01-31",0,0,1,0,1,0,0,0,0
"B.1.177","Germany","2020-12-26",1,1,1,1,1,0,0,0,0
"B.1.177","Germany","2021-01-02",1,0,1,1,1,0,0,0,0
"B.1.177","Germany","2020-12-04",1,1,1,1,1,0,0,0,0
"B.1.177","Germany","2021-03-04",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-03-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-03-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-03-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-03-10",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-03-15",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-07",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-09",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-12",1,0,1,1,1,0,0,0,0
"B.1.177","Germany","2021-04-13",1,0,1,1,1,0,0,0,0
"B.1.177","Germany","2021-04-20",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-19",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2021-04-19",1,0,1,1,1,1,0,0,0
"B.1.177","Germany","2020-12-15",1,0,1,1,1,1,0,0,0
"B.1.177","Denmark","2020-11-30",1,1,1,1,1,0,0,0,0
"B.1.177","Egypt","2021-01-03",1,0,1,0,1,0,0,0,0
"B.1.177","Spain","2021-02",1,0,1,1,1,0,1,0,0
"B.1.177","Spain","2021-02-07",1,0,1,1,1,1,0,1,0
"B.1.177","Spain","2020-08-03",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2021-02-10",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2021-02-11",1,0,1,1,1,1,0,1,0
"B.1.177","Spain","2020-08-05",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2020-08-08",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2020-08-08",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2020-08-08",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2020-08-08",1,0,1,1,1,0,1,0,0
"B.1.177","Spain","2021-02-09",1,0,1,1,1,0,0,0,0
"B.1.177","Spain","2021-02-07",1,0,1,1,1,1,0,1,0
"B.1.177","Spain","2021-02-08",1,0,0,1,1,1,0,1,0
"B.1.177","Spain","2021-02-09",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-09",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-08",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-11",1,0,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,1
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-13",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,0,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,1,0,1,0
"B.1.177","United Kingdom","2021-01-12",1,0,1,1,1,0,1,0,0
