"lineage","country","date","N.E136D","N.R203K","N.G204R","ORF1a.S40L","ORF1a.A1283V","ORF1a.K1529R","ORF1a.P2685T","ORF1a.V3718F","ORF1b.P314L","S.D138H","S.D614G","E.S55F","ORF8.A55V","N.D377Y","ORF1a.A1043V","ORF1a.T1881I","ORF1b.H863Y","ORF3a.S60Y","S.A67S","ORF1a.T490I","ORF1a.P1862L","ORF1b.A690S","ORF1b.P1879S","S.F2L","S.W64L","ORF1a.A687V","ORF1a.T891I","ORF1a.T753I","ORF1a.S2583R","E.P71L","ORF3a.K67R","ORF1a.P1921S","ORF1b.H1213Y","N.R36P","ORF9b.D33H","S.S1249F","ORF1a.R124C","S.T33A","ORF1a.N1042T","ORF1b.T1540I","ORF1a.L3606F","ORF1b.V980F","ORF1b.V1271L","ORF3a.G49C","ORF1a.P361L","ORF1a.T4159I","ORF1a.L92F","ORF7b.S5L","N.G124S","ORF1a.P309L","ORF3a.V13L","ORF1b.K421M","ORF1a.A2249V","ORF1a.S2625F","N.A12S","ORF9b.M8I","S.A899V","N.A251S","ORF1a.T2512I","M.P123L","ORF1b.P970S","ORF1a.P1659L","ORF6.K42N","S.A783V","ORF1a.S944L","ORF1b.S1182L","ORF6.D61G","ORF1a.F480V","ORF1a.T1567I","ORF1a.P2018L","ORF1b.T1697I","ORF7b.C41Y","N.T205I","ORF1b.T1511I","ORF1a.T2274I","ORF3a.Y264C","ORF1a.V710A","ORF1b.F1510L","ORF3a.G49D","N.P168L","ORF1a.A3548T","ORF1a.S2103F","ORF1a.T4207I","ORF1b.K2557R","ORF1b.L236V","ORF1a.A2123T","ORF1a.G4177R","S.L5F","ORF1a.T1543I","ORF1b.V248F","ORF1b.V1493I","ORF1b.V2345I","S.A67V","N.G236C","ORF1b.E2355G","S.T883M","ORF1a.H374Y","ORF1b.R905S","ORF7a.A66V","ORF9b.P17L","ORF1a.A535T","ORF1a.H1160Y","ORF1a.P1640S","ORF1b.S18C","ORF1b.A1443V","S.S494P","ORF1a.G989V","ORF3a.L127F","ORF1a.A656V","ORF1a.D2136G","ORF1b.L2213F","ORF1a.G392C","ORF1b.L699S","ORF1b.T1774I","ORF1b.Q2295R","S.E1182Q","N.L139F","ORF1a.E2617K"
"B.1.1.186","USA","2021-01-04",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2020-09-21",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2020-12-07",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2021-01-27",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2021-01-25",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2021-01-31",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2021-02-04",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2021-01-06",0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2020-12-31",0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.186","USA","2020-10-16",0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
