"lineage","country","date","N.R203K","N.G204R","ORF1a.I831V","ORF1b.P314L","S.D614G","ORF1a.R3802C","ORF1b.T1404M","ORF1b.K1873N","ORF1a.D152G","E.S68F","ORF1a.D909E","N.T271I","ORF1b.V1092G","N.A359S","S.V308L"
"B.1.1.109","United Kingdom","2020-06-01",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-01",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-15",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-19",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-19",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-07-03",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-07-01",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-11",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-16",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-10",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-10",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-09",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-16",1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"B.1.1.109","United Kingdom","2020-06-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-12",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-12",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-08",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-16",1,1,0,1,1,0,0,0,0,0,0,1,1,1,0
"B.1.1.109","United Kingdom","2020-06-11",1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
"B.1.1.109","United Kingdom","2020-06-15",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-15",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.109","United Kingdom","2020-06-20",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
