"lineage","country","date","M.I82T","N.R203M","N.G215C","N.D377Y","ORF1a.A1306S","ORF1a.P2046L","ORF1a.P2287S","ORF1a.V2930L","ORF1a.T3058I","ORF1a.T3255I","ORF1a.A3571V","ORF1a.T3646A","ORF1b.P314L","ORF1b.G662S","ORF1b.P1000L","ORF1b.A1918V","ORF3a.S26L","ORF7a.V82A","ORF7a.T120I","ORF7b.T40I","S.T19R","S.R158G","S.L452R","S.T478K","S.D614G","S.P681R","N.K373N","ORF1a.L4045I","ORF1a.H374Y","ORF1a.V28I","ORF7a.P34L","S.G1124V","ORF1a.V2401L","N.D144Y","ORF3a.A103S","ORF1b.A1609S","ORF1b.A176V","S.D571G","S.I818V","N.D63G","ORF1a.K3353R","ORF9b.T60A","S.G142D","S.D950N","ORF3a.S162I","S.R21I","ORF1a.V228I","ORF1a.S528P","ORF1a.E933K","ORF1a.V2624M","ORF1b.Y1944.","ORF1b.Y2608C","ORF3a.W131C","ORF7a.P34S","ORF1b.V2117L","ORF3a.I118T","ORF1a.E1015K","ORF3a.A98V","ORF3a.M125V","S.Q836L","S.Q1201R","ORF1a.F190L","ORF1a.V2586D","ORF1a.L446F","ORF1a.E938A","ORF1b.V1110L","ORF1b.P1664S","ORF1b.V1706L","ORF1a.S318L","ORF1b.E1184D","ORF1b.T1290I","ORF8.Q72L","ORF8.C83F","S.Q173H","ORF1a.R1701G","ORF1a.E3909G","ORF1a.A385V","ORF1a.P2221H","ORF1a.D3703A","ORF1b.N1025S","ORF1b.T1137I","ORF1b.T1274I","S.S704L","ORF1a.L533P","ORF1a.T1001I","ORF1a.P2055S","ORF3a.S177G","ORF1b.T1555I","ORF1a.V2130F","ORF1a.M2410I","ORF1a.Q2702H","ORF1a.E1724A","ORF1b.V2691F","ORF3a.G172C","ORF7a.E33.","S.P25L","ORF1a.A2745V","S.G932V","N.T135I","ORF1a.A599V","S.T95I","S.D796Y","N.P199L","ORF1a.I2541M","ORF1a.E289A","ORF1a.N3335S","ORF1a.I3731V"
"AY.96","Germany","2021-08-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-09-08",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-09-01",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-10-08",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-03",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-22",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-25",1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-25",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-21",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.96","Germany","2021-11-21",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
