"lineage","country","date","ORF1a.N3970S","ORF1b.T11I","ORF1b.A88V","ORF1b.P314L","ORF3a.V13L","S.D614G","N.N29I","ORF1a.R119C","ORF9b.M26L","S.L5F","ORF1b.M1596I","ORF1b.T861I","ORF3a.S58R","S.M1237V","ORF8.A65V","ORF1a.P309S","ORF3a.G100V","S.K1245R","N.S193I","ORF1a.I1128V","ORF1a.A3333V","ORF1a.T4065I","N.D343Y","S.V90F","ORF1b.I2525V","ORF3a.D210G","M.D3Y","ORF1a.P532S","ORF1a.A2098V","ORF1b.P970L","N.T166I","ORF1a.P271Q","ORF1a.I2138V","ORF1a.V2052M","ORF7b.S5L","ORF1a.T3567I","ORF1a.T2152I","S.R1091L","S.V83F","ORF3a.L41F","ORF1a.A1268V","ORF1a.L3606F","ORF1a.L580F","ORF1a.H1113Y","M.H125Y","ORF1a.P1640S","ORF1a.H1160Y","S.A520S","N.S206P","N.P365L","S.D936Y","N.P13S","N.S194L","ORF1b.Y1229C","ORF1b.R1736K","S.D138Y","N.P46S","ORF1a.F190L","ORF1a.T265I","ORF1b.P2313L","ORF3a.Q57H","ORF8.S24L","S.L8W","S.H49Y","ORF1a.V2206A","E.L51F","ORF1a.N1442H","ORF1b.T1627A"
"B.1.104","United Kingdom","2020-06-13",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-02",0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-17",0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-19",0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-19",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-25",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-25",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-07",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-17",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.104","United Kingdom","2020-06-09",0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
