"lineage","country","date","N.R203K","N.G204R","N.R209I","ORF1a.T1000I","ORF1a.D3042N","ORF1b.P314L","ORF8.R52I","S.D138Y","S.D614G","ORF1a.F406L","ORF1a.K1233N","ORF1a.M3616T","ORF1b.N2535S","ORF1a.V3091I","ORF1b.P1727L","ORF1a.A903V","ORF1b.V2061L","ORF3a.L101F","S.P26S","ORF1a.G519S","ORF1a.L2882F","ORF1a.K2928R","ORF1b.R240W","S.N481D","N.P80R","N.R203M","N.G215C","ORF1a.P2046L","ORF3a.S253P","ORF3a.G254R","ORF9b.Q77E","S.R158G","S.E484K","S.N501Y","S.H655Y","ORF1a.L3606F","S.V483F","S.N536H","N.G236D","ORF1a.T3082A","ORF1a.A702T","ORF1a.K1280N","ORF1b.L1504F","ORF3a.S166L","ORF1a.N2878I","S.R408I","E.E8D","N.S2F","ORF1a.L3201H","ORF1b.T1739I","N.T282I","ORF1a.V2061F","ORF1a.S2378L","ORF3a.R134L","ORF1a.P271S","ORF1b.A2006V","ORF3a.P159S","ORF1a.P309L","ORF1a.R2115K","ORF1a.G2284S","ORF1b.E2544D"
"B.1.1.354","Bahrain","2021-02-03",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","Bahrain","2021-02-17",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2020-11-19",1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2021-03-01",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2021-03-06",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2020-11-15",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2021-08-14",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2020-11-17",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2020-11-18",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.354","United Kingdom","2021-02-24",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
