"lineage","country","date","N.T205I","ORF1a.T1055A","ORF1a.T1538I","ORF1a.N2147D","ORF1a.T2952I","ORF1a.T3255I","ORF1a.Q3729R","ORF1b.P314L","ORF1b.P1342S","ORF1b.P1414S","ORF1b.S2312L","ORF3a.Q57H","ORF8.T11K","ORF8.P38S","ORF8.S67F","S.T95I","S.Y144S","S.Y145N","S.R346K","S.E484K","S.N501Y","S.D614G","S.P681H","S.D950N","ORF1a.T1269A","ORF8.R52I","ORF3a.V259L","ORF1a.P626S","ORF1a.G2073V","ORF8.A65S","ORF7a.V104F","ORF7a.F63H","N.P13L","ORF9b.P10S","S.T250A","ORF1b.Q72E","ORF7a.V108L","ORF1a.T1093A","ORF1a.A2710V","ORF8.F120L","ORF3a.K16N","ORF1a.D495G","ORF3a.I7V","N.S193I","ORF1a.Y359H","ORF1a.S944L","ORF1b.V1649F","S.C1250F","ORF1a.N2140T","ORF1b.T730I","ORF7b.F19L","ORF1a.L61M","ORF1b.A1219S","ORF1a.E1192K","ORF1b.Q483H","ORF1b.R1315C","ORF1b.D2179Y","S.I101V","ORF1a.A2355S","N.H300Y","ORF1a.A2460V","ORF1b.Y1176H","S.G142V","ORF1a.K2622N","ORF3a.N257Y","ORF1a.P276S","ORF1a.T1731I","ORF8.A65V","ORF3a.P42S","ORF7a.A66S","N.P344S","ORF1a.T1794I","ORF1a.G3274S","ORF1a.S887F","M.H125Y","ORF1a.L3606F","N.R195I","N.D377G","ORF1a.V1199I","ORF1b.A241S","ORF1a.R2431K","ORF8.K68.","ORF1a.G345D","ORF1b.K1388R","ORF3a.I35T","ORF1a.T2247N","ORF1a.K141R","ORF1a.A4044V","ORF1a.T3288I","ORF1a.A3620V","ORF1b.N1684T","ORF1a.L2236F","ORF1a.T1597I","ORF1a.S2242F","ORF1a.E973K","ORF1a.A3730T","ORF8.E59.","ORF1a.M4390I","ORF1a.G1155C","ORF7a.G70S","ORF1a.D1044Y","ORF8.S24L","N.P80S","ORF1b.V2564M","ORF3a.V163L","ORF1a.P4220L","ORF1b.T1154I","ORF1b.A1261V","S.L5F","ORF1a.A2891V","ORF3a.T175I"
"B.1.621.1","Germany","2021-06-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Germany","2021-06-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Dominican Republic","2021-10-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Dominican Republic","2021-10-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","United Kingdom","2021-06-15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Jamaica","2021-07-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Jamaica","2021-07-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Jamaica","2021-08-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Jamaica","2021-08-09",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.621.1","Jamaica","2021-08-09",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
