"lineage","country","date","N.R209I","N.Q229R","N.A311T","ORF1a.I300V","ORF1a.K3353R","ORF1a.V3718F","ORF1a.M3752I","ORF1a.A3924V","ORF1b.P314L","ORF1b.S1408L","ORF1b.A2143V","ORF1b.T2514I","ORF3a.Q57H","ORF3a.Q213L","ORF7b.A15S","S.D614G","N.T391A","S.A684S","ORF7b.C12W","ORF3a.L108F","ORF1a.P2483S","ORF1a.R2432K","M.S4F","N.S190I","ORF1a.T265I","ORF1a.T4355I","ORF1b.H1838Y","ORF1b.T2455I","ORF1a.P1541S","N.R209S","ORF1a.T1761I","ORF1a.A2855V","M.I161M","ORF3a.A33S","S.H49Y","ORF1a.S1510F","ORF3a.V202L","ORF1b.V1092F","ORF7a.T61I","ORF1a.L3606F","S.T259I","N.P6L","ORF1a.H1141R","ORF1a.D2101G","ORF1a.S4398L","ORF1b.S626T","ORF1b.S1201F","ORF3a.S40L","ORF6.V5M","ORF9b.P3S","E.V24M","ORF7a.E92D","ORF1a.E640A","ORF1a.G1073E","ORF1a.V2061I","ORF1b.L1351F","ORF1b.S2212I","ORF1a.P1921L","ORF1b.D727E","ORF1b.S1182L","ORF7a.K32R","S.T747I","ORF1b.P2116S","ORF1a.R119C","ORF1a.G519S","S.D427N","S.P1263L","S.G1099D","ORF1b.K709N","ORF1b.S2363A","ORF1a.L580F","ORF1a.T4161I","S.A852S","ORF1a.D147G","ORF1a.G400S","ORF1a.P971L","ORF1b.P1567F","S.T572I","ORF1a.A3610V","ORF7a.P99L","N.A251V","ORF1a.V1143F","N.G243C","N.V392L","ORF1a.F509S","ORF1a.T2876I","ORF1b.M1596I","ORF3a.T151A","S.L585F","ORF1a.Q15L","ORF1b.P1567L","ORF1b.V2564M","S.L176F","ORF6.S25P","N.G236S","ORF1a.L2371F"
"B.1.580","Germany","2021-02-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-08",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-09",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-17",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-02",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-02-22",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-04",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-10",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.580","Germany","2021-03-11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
