"lineage","country","date","N.R203K","N.G204R","ORF1a.P1640H","ORF1a.D4187N","ORF1b.P314L","ORF3a.L129F","ORF3a.G224C","S.D614G","ORF1a.A1204V","ORF1a.G519S","ORF1b.V1814F","ORF3a.R68I","N.D399Y","ORF1a.E457G","ORF1b.T794I","S.K41E","ORF8.E64D","ORF1b.S997L","ORF1a.L681F","N.P365R","ORF1a.P1921Q","ORF3a.K61T","S.D80Y","M.H148Y","ORF1a.V1798L","ORF1a.A3220V","ORF1a.L3606F","S.V1228L","ORF1a.I1276S","ORF1a.G1070S","ORF1b.R276C","ORF1b.R2189C","N.P6L","N.H145Y","ORF1b.E1288D","ORF9b.P3S","ORF1a.P3952S","ORF1a.D953Y","N.T141I","ORF3a.L83F","ORF1a.G392C","ORF1a.A1767S","ORF1b.T1050I","ORF3a.T223I","ORF3a.N257D","S.T76I","S.T208M","ORF1a.L2609F","ORF8.Q27.","ORF1a.P2046L","ORF1a.L3829F","ORF1a.T2087I","ORF1a.V3510F","ORF3a.D173G","S.L5F","S.A701V","ORF1b.V193A","ORF9b.V23A","S.L216F","N.D401Y","ORF1a.V106F","ORF1a.K2511N","ORF1b.S1003G","ORF1b.R1315C","ORF1a.T170I","ORF1a.T2007I","ORF8.G8R","N.R209I","ORF1a.S3863A","ORF1a.A4396V","ORF3a.E239D","N.P67L","ORF1a.K351N","ORF1b.V596A","ORF1b.A1521S","ORF9b.L64F","ORF1a.P3371S","ORF1b.K50N","ORF1b.A1432V","S.T29I","N.I131V","ORF1a.S34A","ORF1b.R631H","ORF1b.T1511I","ORF1a.S279F","ORF1a.N3382S","ORF1b.T2040I","ORF8.H17Y","S.M177I","S.P384S","ORF3a.T12I","ORF1b.A2132V","ORF7b.M24V","ORF1a.S2114F","ORF1b.A440V","ORF1a.S2661F"
"B.1.1.170","United Kingdom","2020-10-06",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-10-12",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-10-04",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-11-08",1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-11-08",1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-11-14",1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-11-22",1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-11-22",1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-12-09",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.170","United Kingdom","2020-12-14",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
