"lineage","country","date","N.P199S","ORF1a.R207C","ORF1a.V378I","ORF1a.M2796I","ORF1a.L3606F","ORF1b.P85L","ORF1b.D1869G","ORF1b.D2090Y","ORF3a.L96F","ORF8.G8.","ORF1b.A302S","N.Q9H","ORF1a.I114T","ORF1a.V3968I","ORF9b.S6I","ORF7b.S31L","ORF1a.V2586G","ORF1b.V2475G","S.P1263L","ORF1a.Y136N","ORF1b.P314L"
"B.4.7","Bahrain","2020-06-23",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.4.7","United Kingdom","2020-04-07",1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.4.7","India","2020-05-03",1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"B.4.7","India","2020-05-06",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"B.4.7","India","2020-05-06",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"B.4.7","India","2020-05-06",1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"B.4.7","India","2020-05-06",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0
"B.4.7","India","2020-05-12",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"B.4.7","India","2020-05-12",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"B.4.7","India","2020-05-14",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0
"B.4.7","India","2020-05-14",1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
"B.4.7","Kenya","2020-03-14",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.4.7","USA","2020-03-24",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"B.4.7","USA","2020-03-26",1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.4.7","USA","2020-03-26",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"B.4.7","USA","2020-04-09",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
