"lineage","country","date","N.T205I","ORF1a.S944L","ORF1a.T1168I","ORF1a.P1640L","ORF1a.L3644F","ORF1b.P314L","ORF1b.S1182L","ORF3a.Q57H","ORF8.L95F","S.W152R","S.N439K","S.D614G","S.P681R","ORF1b.D795A","ORF1a.T4175I","ORF1b.V396F","ORF7a.T39I","ORF1a.G52S","ORF1b.P1727S","ORF1b.N2079T","N.D144H","N.Q163K","N.P168S","ORF1a.M174I","ORF1a.D795E","ORF1b.A1443V","S.L5F","S.G1223C","ORF1a.T2197I","ORF3a.Q213K","E.R61L","ORF1a.D981V","ORF1a.E1293K","ORF1a.K3353R","ORF3a.Q57D","N.L56F","ORF1a.V3718F","ORF1a.P309S","ORF1a.G2207S","ORF1b.K469N","ORF1b.S2076F","ORF1b.T2163I","ORF1a.K1655N","ORF7b.L32F","ORF1a.K2771E","ORF1a.W630C","ORF1a.M3921I","S.V362F","N.D144Y","N.M234I","ORF1a.A2821T","ORF1a.T3904I","ORF8.T11I","S.A264S"
"B.1.466.2","United Kingdom","2021-04-02",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","United Kingdom","2021-04-02",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","United Kingdom","2021-03-08",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","United Kingdom","2021-04-21",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","Hong Kong","2021-03-11",1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","Malaysia","2020-04-01",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","Malaysia","2021-04-28",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","New Zealand","2021-05-01",1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","United Kingdom","2021-05-11",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.466.2","United Kingdom","2021-05-17",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
