"lineage","country","date","M.L34F","N.S194L","ORF1b.P314L","ORF3a.N119H","S.D614G","S.E654K","N.G34W","ORF1a.D953Y","ORF1a.V1620I","ORF1a.M3129I","ORF1a.L3606F","ORF1b.T1540I","ORF7a.V93F","N.T334I","ORF1a.P1284S","N.Q7K","ORF1a.K564T","ORF1a.R1386C","ORF1a.T4364I","ORF1b.I1611V","ORF7a.T120I","S.L18F","S.H1101Y","ORF1a.P782L","ORF1a.S2114F","ORF8.T11K","ORF1b.R448C","S.D796Y","ORF1b.K2097E","ORF1a.D996Y","ORF1b.V486I","ORF3a.R126M","S.V407I","E.V62F","ORF1a.T2648I","ORF1a.N1576Y","ORF1b.V1021F","ORF1a.T265I","ORF1a.K292N","ORF1a.T1638N","ORF1a.P3359L","S.A475V","ORF1a.R184C","ORF1a.L845F","ORF1b.M1839I","ORF1a.I222V","ORF1a.V2754I","N.K374Q","ORF1a.K1247N","ORF1a.P4220L","S.P217S","ORF1a.P193S","ORF1a.P2605S","ORF1a.M3752I","ORF1a.P3395S","ORF3a.I263L"
"B.1.405","Mexico","2020-05-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","Mexico","2020-05-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2021-03-02",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-09",0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2021-01-19",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2021-01-31",0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-03",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-06",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-07",0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-12",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-10-15",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-11-11",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.405","USA","2020-11-11",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
