"lineage","country","date","M.T7I","N.R203K","N.G204R","ORF1a.G3278S","ORF1a.D4317E","ORF1b.V33I","ORF1b.P314L","ORF1b.D2183Y","S.D614G","S.F1109L","S.P26L","N.D348H","ORF3a.Q185H","ORF1b.I2286V","ORF1a.V2071F","ORF1a.L3606F","ORF1a.P2483S","S.A879S","ORF3a.L106F","ORF1b.T1289M","ORF3a.F120S","S.L18F","ORF1a.N1871S","ORF1b.I1674T","ORF1a.K3151E","ORF1a.I2156T","ORF1a.S279F","N.D371E","ORF1b.S1182L","ORF3a.G224C","ORF1b.A2585S","ORF8.F104L","ORF1a.P1541S","ORF1a.P769S","S.S255F","S.L5F","ORF1a.T436I","ORF7a.G38V","ORF7a.S36P","E.T9I","ORF1a.D1600N","ORF1a.A364S","S.T29I","S.V320A","ORF1a.K1202N","ORF1a.P4223L","ORF9b.G38V","ORF1b.T2165A","S.T323I","S.A1078S","ORF1a.L1191F","ORF1b.V1493L","ORF1b.P1851S","ORF3a.T268M","S.L54F","N.E367K","ORF1a.T951I","ORF1a.S318L","ORF1b.T2163I","ORF1a.M3862I"
"B.1.1.372","United Kingdom","2020-06-12",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-11",0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-14",0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-23",0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-01",0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-13",0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-16",0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-15",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-13",0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.372","United Kingdom","2020-06-17",0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
