"lineage","country","date","ORF1a.S2285F","ORF1b.P314L","ORF1b.S1408L","ORF3a.Q57H","S.D614G","N.S186P","ORF1a.H110Y","ORF1a.A1352V","ORF1a.I3731T","ORF1b.M1352I","ORF1b.V1644L","ORF1b.I2303T","ORF3a.V90F","S.D178N","N.P13R","ORF1a.T1242I","ORF1b.P255T","ORF1b.A2334V","ORF9b.P10A","ORF1b.I441V","ORF1b.R1687C","ORF1b.I1002T","ORF1b.I1674T","ORF1b.T2040I","ORF1b.M747I","ORF3a.P42R","ORF1b.L1504F","N.R209I","ORF1a.P2018S","ORF1a.V3718F","ORF1a.M3752I","ORF1a.A3924V","ORF1b.A1326S","ORF3a.Q213L","ORF7b.A15S","ORF1a.T2648I","ORF1a.K4176N","ORF8.C25F","ORF8.Q91.","ORF1b.D2361Y","ORF1b.K2557R","ORF1a.K2798R","ORF1a.S2839N","ORF1b.S904L","ORF1b.D2020Y","S.A288T","S.Q314R","ORF1b.D1183Y","ORF1b.A1995V","S.N74K","S.N188K","N.Q28R","N.T205I","ORF1a.E57K","ORF1a.L384F","ORF1a.A3209V","ORF1b.M1397I","ORF3a.G174C","ORF9b.R25G","ORF1b.L1142I","ORF6.T21A"
"B.1.9","United Kingdom","2020-03-30",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","United Kingdom","2020-11-05",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Switzerland","2020",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-03-24",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-03-24",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-03-29",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-03-30",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-03-30",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-04-01",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9","Netherlands","2020-04-08",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
