"lineage","country","date","N.P207L","ORF1a.T265I","ORF1a.H374Y","ORF1b.P314L","ORF1b.L1220F","ORF1b.P1567L","ORF1b.I1569T","ORF3a.L15F","ORF3a.Q57H","ORF8.Q27.","S.L5F","S.M153I","S.D614G","ORF1a.T3284I","ORF1a.T3579I","ORF1a.V3782I","ORF1b.R1315C","ORF1b.P1427L","ORF1b.D1869Y","ORF1b.A2431V","S.Q675H","E.S68F","S.V213L","ORF1a.V1583I","ORF1a.T2615I","ORF1b.D2090Y","N.P46S","ORF1a.P1692S","ORF1a.K2029E","ORF1a.S4286N","ORF1a.G3072C","ORF1a.M3752I","ORF1b.S904L","ORF1b.S2339F","ORF1a.A964V","ORF1a.T753I","ORF1a.P3767S","ORF1b.K50N","ORF1b.K2557R","S.F565L","N.A12T","ORF1a.L3754F","ORF1b.G2337V","ORF1b.H2388Y","ORF9b.M8I","S.E484Q","ORF1a.E1413D","ORF7b.H42R","ORF1b.T1336I","N.P142S","ORF1a.A2925T","ORF1a.Q970P","ORF3a.A110S","S.C136G","E.T30I","M.H125Y","ORF1a.H1500R","ORF1a.G2258D","ORF1a.S2972P","ORF1a.I3341V","ORF1b.P1727S","ORF1b.T2537I","ORF3a.K75T","S.P384L","S.G769E","ORF1a.C51S","ORF1b.H2285R","ORF1a.D156N","ORF1a.G728C","ORF1a.S2114F","ORF1b.E1728D","ORF1b.V1092F","S.A222V","N.E378D","ORF1b.T1139I","ORF1b.V1271L","ORF1b.V2178F","ORF1a.P1265L","ORF1a.A3615V","ORF1b.K2160N","ORF1a.T283I","ORF1a.S443F","ORF1a.V874F","ORF1b.M1693V","ORF1b.L2213F","ORF1a.R207C","ORF1a.A3924V","N.A152V","ORF1a.L3116F","ORF1b.H2293Y","ORF1b.P2321S","ORF3a.G174D","S.E1111Q","ORF1a.A1397V","ORF1a.L3606F","ORF1a.A3705V","ORF1b.S1182L","S.D1153A","ORF1a.D1228Y","ORF1a.M2259I","ORF1b.T310I","ORF1b.D892N","ORF6.S25P","ORF9b.R32L","ORF1a.N3537S","ORF1b.R2257S","ORF1b.E793D","N.D128Y","ORF1b.G1824V","ORF1a.P1921S","ORF1b.A1843T","ORF1b.E910D","ORF1b.S2338L","ORF1a.H1113Y","ORF1a.M3616V","ORF3a.S195Y","N.P168S","N.P383L","ORF1a.D3042N","ORF1a.Q4140H","ORF1a.T4065I","ORF1b.T2048I","ORF1b.V2086F","ORF1a.K2511N","ORF7a.T28I","ORF9b.L64P","ORF1b.V396F","ORF1b.A390T","ORF3a.A33S","ORF1a.T1890I","ORF1a.Y2003H","ORF1b.A517V","ORF1b.A1521V","ORF1b.N291D","ORF1b.K2111R","ORF1a.D2074N","ORF1a.A4130S","ORF1a.A4271S","ORF1b.S2688A"
"B.1.599","Mexico","2020-12-04",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","Mexico","2020-12-22",1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-01-13",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-01-04",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-01-21",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-01-19",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-03-14",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-03-27",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2021-03-02",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.599","USA","2020-12-30",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
