"lineage","country","date","N.A220V","ORF1a.I114T","ORF1a.G519S","ORF1a.A1234V","ORF1b.P314L","ORF3a.E194V","ORF3a.T223N","S.A222V","S.D614G","S.Q1071L","S.L5F","ORF1a.S2926Y","ORF1a.P4211S","ORF1b.T1540I","ORF7b.H42Y","ORF1a.E1205A","ORF1a.L3606F","ORF1b.L629F","ORF1a.P1786L","ORF1b.G1338C","S.T95I","ORF1a.A1283V","S.T859I","ORF1a.Q1227K","ORF1b.S1881I","ORF1a.V3283I","ORF7a.P99L","ORF8.S67F","ORF1a.L624F","ORF1a.M3921R","ORF1b.T132I","ORF1a.V1967E","ORF1b.T67I","ORF3a.H182Y","ORF1a.A2584V","ORF1b.P1936S","ORF3a.D22H","N.E378Q","ORF1a.T3940I","N.D22Y","ORF9b.Q18H","ORF7b.S31L","ORF3a.L106F","N.T379I","ORF1b.T1050I","ORF1a.T3356I","N.T362K","ORF1a.T3255I","ORF1a.V2862L","ORF1a.M4036T","ORF1a.V3420I","ORF1a.N2482T","ORF1a.T4065A","ORF1b.V2206I","ORF1a.A917S","ORF1b.V2172A","ORF1a.V86F","ORF1a.K816R","ORF1a.T2007I","ORF1b.S598R","ORF3a.I37V","S.S98F","ORF1a.Q362K","ORF1b.L1504F","S.V1264L","ORF1a.T1322I","ORF1a.I2790T","ORF7b.A15S","N.G236S","S.V143F"
"B.1.177.73","United Kingdom","2021-03-23",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","United Kingdom","2021-04-03",1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","United Kingdom","2021-02-01",1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","United Kingdom","2020-12-21",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","Iceland","2020-12-17",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","New Zealand","2020-12-15",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","Germany","2021-01-25",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","Germany","2021-01-29",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","Germany","2021-01-20",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.73","Germany","2021-01-20",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
