"lineage","country","date","E.C43R","N.R203K","N.G204R","N.Q283H","ORF1a.S944L","ORF1a.T1246I","ORF1a.K1305N","ORF1a.N2023K","ORF1a.G3278S","ORF1a.L3641F","ORF1a.M4241K","ORF1b.P314L","ORF1b.F2174S","S.D614G","S.N74K","N.M234I","ORF1a.L251F","ORF1a.K322R","ORF1a.T1998I","ORF1a.K2497N","ORF8.P30L","ORF8.S67F","ORF3a.N144Y","ORF1a.V639I","ORF1a.V2588F","S.T20I","ORF1a.V3197A","ORF1a.T4311A","ORF1b.D53Y","ORF1b.A1057S","ORF7a.T14I","ORF1a.G1155C","ORF1a.F1959Y","ORF1b.T2195I","ORF3a.Y156C","S.L5F","ORF1a.K2148E","ORF1a.T3453I","ORF1a.R1628H","ORF1a.G963S","ORF1a.R1464Q","ORF1b.K771R","ORF3a.A110S","N.A152S","ORF1a.G2499D","N.N11Y","ORF1a.T2124I","ORF1b.A2132V","ORF3a.T34M","ORF9b.E7D","ORF1b.R1084K","N.P67S","ORF1a.P1692S","ORF1a.K3353R","ORF1a.E4313D","ORF8.I39T","ORF1a.A498V","ORF1a.T2069I","ORF1a.S3863P","ORF1a.D4165G","ORF1b.F1214C","ORF1b.A1215T","ORF1a.L1130F","ORF1a.L3606F","ORF1b.T1274I","ORF1b.A1884V","ORF1b.N2682T","ORF1a.A3939V","S.T719I","ORF1a.V1629F","ORF7b.E33K","ORF1a.F1594S","ORF1a.Q998H","ORF1a.T4164I","S.P1263L","ORF1a.E41G","ORF1a.D2907E","ORF1a.T829I","ORF1a.T1001I","ORF1b.D131E","ORF1b.R1737L","ORF1b.V2061L","ORF1b.I2078V","ORF1a.T1854I","ORF1a.L2609F","ORF1b.T1540I","ORF1a.P1596S","ORF3a.M260I","ORF7a.L5F","ORF1a.P820L","ORF1b.F1422L","ORF1a.S2797F","ORF1b.T2537I","ORF3a.S171L","ORF1a.E41K","ORF1b.H1619Y","ORF1a.G2258C","ORF1a.L3352F","ORF1b.D2333Y","ORF1a.K2928R","ORF1b.V1760F","S.Y917H","ORF1a.S318L","ORF1a.L4284I","ORF1a.S216F","ORF1a.T677K","ORF1a.E942G","ORF1a.T2872M","ORF1b.R270S","ORF3a.P240L","S.H69Q","ORF1a.L4182F","ORF7a.H19Q","N.H145Y","ORF3a.D142H","ORF1a.P971L","ORF1b.L2523F","ORF3a.P159S","ORF3a.H93Y"
"C.23","Pakistan","2021-01-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","Pakistan","2020-05-11",0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","Pakistan","2020-05-11",0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","Pakistan","2020-05-11",0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","Pakistan","2020-05-11",0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","USA","2020-12-12",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","USA","2021-01-25",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","USA","2021-01-31",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","USA","2021-02-02",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.23","USA","2021-02-02",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
