"lineage","country","date","N.P168Q","N.R203K","N.G204R","ORF1b.P314L","ORF1b.T1230A","ORF1b.K2111N","ORF3a.L219F","S.N460I","S.D614G","ORF1a.T512K","ORF1a.L590F","ORF1a.V3331A","ORF3a.E194K","ORF7b.W29C","ORF1b.L293M","ORF1a.L1579F","ORF3a.E242.","M.V221A","ORF1a.G353V","ORF1a.P1220S","ORF1b.S220N","ORF1b.T797I","S.L229F","S.V635I"
"B.1.1.203","Armenia","2020-08-18",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","Armenia","2020-09-01",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-14",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-20",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-07-01",0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-24",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-11",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-16",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-18",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-16",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-14",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-12",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-09",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-12",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-12",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-12",0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-13",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.203","United Kingdom","2020-06-12",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"B.1.1.203","Ecuador","2020-07-20",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
