"lineage","country","date","N.T76I","N.R203K","N.G204R","N.T379I","N.D401Y","ORF1a.P2568S","ORF1a.Q2660R","ORF1a.V2715I","ORF1a.V3976F","ORF1b.P218L","ORF1b.P314L","ORF3a.M260K","ORF7a.A8S","ORF9b.P73S","S.L229F","S.D614G","ORF1b.A7V","ORF3a.A72T","ORF6.N34K","ORF7b.D36E","S.D1163A","ORF1b.L1351F","ORF1b.D2423H","ORF1b.M2667I","N.D377Y","S.V1176F","S.T29I","ORF7a.R89T","ORF1a.K3979N","ORF1b.L2017F","ORF3a.A99S","ORF1a.E87K","ORF1a.M1647I","ORF1a.S443F","ORF1a.S3989F","ORF7b.S31L","ORF1a.N1922D","ORF3a.W128L","ORF1a.S3099L","ORF1b.S1003G","ORF1b.M1499I","ORF1a.L1130F","ORF3a.M260I","ORF1a.T2300I","N.D371Y","ORF1b.R296K","N.A381S","ORF1a.L3116F","S.L5F"
"B.1.1.218","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-11-22",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-12-04",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-12-10",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-12-10",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-12-10",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-12-24",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-07-23",1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.218","United Kingdom","2020-07-21",1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
