"lineage","country","date","N.S187L","N.R203K","N.G204R","ORF1a.L730F","ORF1b.P314L","ORF9b.G38D","S.D614G","S.M1237I","ORF1a.S588F","ORF1a.T1035I","ORF1a.K1655N","ORF1a.A1679V","ORF1a.S2103F","ORF1b.A914S","ORF1b.V1149L","ORF3a.V97L","S.L5F","S.D1184Y","M.H155Y","N.Q9H","ORF1b.D1381Y","ORF1b.V2073L","ORF3a.W45L","ORF3a.T176I","ORF9b.S6I","ORF1a.P1497S","ORF1a.M3934I","ORF1b.A1131V","ORF1b.M2269I","ORF7a.L5F","N.A359S","N.S193I","ORF1b.V2199F","N.A398S","S.A845S","N.T366I","ORF1a.T999I","ORF1a.T2876I","ORF1a.A3688V","ORF1a.N2966S","S.Q677H","S.S939F","ORF1a.G989C","ORF1b.M1499I","ORF1b.M2024I","ORF1b.W2586C","S.Q613H","ORF1a.T2021I","ORF1a.A4133V","ORF1a.A4247V","ORF1a.P2018S","ORF1a.D3311Y","ORF1a.V3718F","ORF1b.D870G","S.S255F","ORF1a.C230S","ORF1a.V1271I","ORF1a.E347G","ORF1b.V1407F","ORF1b.T1453I","ORF1a.T1004I","ORF1a.R1628C","ORF1a.M3627I","ORF3a.P42L","ORF1b.W1429C","ORF1a.R1467K","ORF7b.M1I","ORF7b.I2N","ORF1a.M1647I","ORF1b.A374S","ORF1b.T1655I","ORF8.G8E","S.G232V","S.F565S","S.E1207K","N.V270L","ORF1a.T4204N","ORF7a.V29A","ORF7b.A15T","ORF1b.S638I","ORF1a.V2613F","ORF1a.L3606F","ORF1a.T3665A","ORF1a.T2274I","ORF1b.D1869Y","S.V1228L","ORF1a.T2283I","ORF1a.I3576V","ORF1b.A88V","ORF3a.P42S","ORF1b.D2138E","ORF3a.K16N","ORF3a.T175I","ORF6.I18F","ORF1b.K2579N","N.R36L","ORF1b.T284I","ORF1b.V2117L","ORF3a.V88L","ORF8.V5G","ORF9b.D33Y","S.S813I","ORF1b.A975S","ORF1b.P1452L","ORF1b.P2162Q","ORF1a.T2967I","ORF1b.D815H","ORF8.P38L","S.K529R","ORF1a.A3889T","ORF1b.R524H","ORF7a.L9V","ORF1b.S1159I","S.E309Q","ORF1b.A397V","ORF3a.V112F","S.H1083R","N.A397S","S.A688S","ORF1a.L477F","ORF1a.N1181K","ORF1a.P1659S","ORF1b.M657I","ORF1a.P2929L","ORF3a.I7V","ORF1a.S376L","ORF1a.G445V","ORF1b.V1021F","ORF1b.T2084I","E.S68F","ORF1a.V2019F","ORF1a.K2029T","ORF1a.H2125Y","ORF1a.L3027F","ORF1a.T3646N","ORF1b.S1089L","ORF3a.F43S","S.A243S","ORF1a.P943S","ORF1a.S3149F","ORF1a.P3359S","ORF1b.H919L","ORF1b.P1727L","ORF1a.M321V","ORF1b.I1299T","ORF1b.K2557R","ORF3a.A23S","ORF7a.A8S","S.Q675H","ORF1a.R550H","ORF1a.S1510F","ORF1a.A3333V","ORF1b.G128D","ORF1a.A3615V","N.H300Y","ORF1b.M454I","ORF1a.I3341V","ORF1a.P3359H","ORF1a.K3577E","S.M1237V","ORF1a.T1001I","ORF1a.P2260S","ORF1a.R2860I","S.L18F","S.D80N","N.N345K","ORF1a.P782L","ORF8.T11I","ORF9b.R13H","S.L452F","S.I850V","ORF1a.V3261I","ORF1b.T1424I","ORF1b.P2313S","ORF3a.P240S","ORF8.A65V","N.K373R","ORF1a.G519C","ORF1b.L238F","ORF1a.P1640S","ORF1a.V1750L","ORF1b.A2431V","ORF1b.V2178F","ORF1b.F2330S"
"B.1.1.305","United Kingdom","2020-08-28",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-09-10",0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-09-10",0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-12-10",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-12-12",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-12-17",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-12-18",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-09-19",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-09-19",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.305","United Kingdom","2020-07-16",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
