"lineage","country","date","M.I82T","N.D63G","N.R203M","N.D377Y","ORF1a.H81Y","ORF1a.G519S","ORF1a.P1640L","ORF1a.L2062F","ORF1a.M3129I","ORF1a.A3209V","ORF1a.P3395L","ORF1a.V3718A","ORF1a.T3750I","ORF1b.P314L","ORF1b.K469N","ORF1b.G662S","ORF1b.P1000L","ORF3a.S26L","ORF7a.V82A","ORF7a.T120I","ORF8.E19Q","ORF9b.T60A","S.T19R","S.G142D","S.R158G","S.A222V","S.S254F","S.A260T","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","N.P207S","ORF1a.G1548S","ORF7a.V24F","S.V367I","ORF1a.M321I","ORF1b.H563Y","ORF1b.M2667I","ORF1a.M2374V","ORF1a.A2584V","ORF1a.A656V","ORF1b.A1609S","ORF8.Q18.","N.T16M","ORF1a.T346I","ORF9b.R13C","S.P174S","ORF3a.M260V","S.E1150D","ORF1a.P892S","ORF1b.T2592A","S.M1237I","ORF7a.G38V","ORF7a.P99L","ORF1a.T1022I","ORF1a.G2258C","S.F133L","ORF1b.R2652S","ORF1a.A2355S","ORF1b.P218L","ORF3a.Q38K","ORF9b.R32L","S.T259I"
"AY.66","United Kingdom","2021-11-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-07-27",1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-03",1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-07-30",1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-07-30",1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-06",1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-15",1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-23",1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-23",1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.66","Germany","2021-08-17",1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
