"lineage","country","date","M.I82T","N.R203K","N.G204R","N.G212V","ORF1a.E102K","ORF1a.A859V","ORF1a.T1246I","ORF1a.D1639N","ORF1a.P2287S","ORF1a.D2980N","ORF1a.D3222N","ORF1a.G3278S","ORF1a.S3687L","ORF1a.L3691S","ORF1a.T4090I","ORF1b.P314L","ORF1b.A520V","ORF1b.D1028Y","ORF7b.A43S","S.S12F","S.W152R","S.R346S","S.L452R","S.D614G","S.Q677H","S.A899S","ORF1b.A2143V","ORF1a.N3537D","ORF1b.T1274I","ORF1b.L2523F","ORF1b.P1452L","ORF1a.S2797F","ORF1b.M1499I","S.Q414K","ORF1a.K2928N","ORF1a.D992A","N.P13L","ORF9b.P10S","S.K1266R","N.K256R","N.A311S","S.L5F","ORF1b.A941V","S.D253Y","S.S640F","S.A411S","ORF1b.H1087Y","ORF1a.A1049V","S.L176F","ORF1a.P1786L","ORF1b.T2548I","ORF3a.L101F","ORF8.A65V","ORF1b.P452S","ORF1a.A2379V","ORF3a.T175I","ORF1b.H430Y","ORF1b.T1404M","ORF1a.K3353R","E.D72Y","ORF1a.R207C","ORF1a.T265I","ORF1a.R1464W","ORF1a.K1860N","ORF1a.G3334S","ORF1a.A3615V","ORF1b.A88V","ORF1b.V972I","S.V120I","N.S193I","ORF1a.P1213L","N.Q390R","ORF1b.D144Y","S.A871S","ORF3a.M5K","S.T572I","N.T24A","ORF1b.A1749V","ORF1b.N1932S","ORF3a.A99T","S.Q414R","S.D1146N","S.S1252F","ORF7a.T14I","ORF1a.P2260L","ORF3a.L15F","ORF3a.W128C","ORF1b.A1620V","ORF1a.M3131I","ORF1a.D4165G","ORF3a.V202L","M.R158L","ORF1b.S1182L","ORF1a.L3606F","ORF6.Y49N","ORF1a.L1130F","ORF1a.A3392V","ORF7a.P99S","ORF1a.T1017I","ORF7a.P34S","ORF1a.G1152S","ORF1b.K2557R","S.T547I","ORF1a.A2097S","N.R40C","N.N269S","ORF1b.T981I","S.P681H","S.T716I","ORF8.A51V","ORF1b.A2132V","ORF9b.T83I","ORF1b.E1728D","ORF1b.A1443V","ORF1a.I2873M","ORF1b.T1050I","S.T284I","S.T20I","N.L219F","N.A156S","ORF1a.H2125Y","ORF1a.I3047V","ORF1a.A2554V","S.E702Q","ORF1a.Y196H","S.T478R","ORF1a.T50I","ORF1a.M3280I","ORF1b.M1397I","ORF1b.A1895V","S.V1068F","ORF1a.D928A","ORF1a.S2972F","S.E619V","S.K1073N","S.V120A","ORF3a.W45L","ORF3a.S165F","ORF1b.V1493L","ORF1b.K82R","N.G120E","ORF1a.S330A","ORF1a.H2092Y","ORF1a.A4357V","S.E780Q","ORF1b.K2063N","S.P1263L","ORF1a.P2046L","M.C33F","ORF3a.R30L","ORF1b.A7V","ORF1b.G1041C","ORF1b.I2465M","ORF6.T21I","ORF1a.P3359S","ORF1a.L3644F","ORF1b.D1127Y","S.S698L","S.L938F","ORF1b.V2178F","ORF1b.K771R","ORF1a.H2794Y","ORF8.T87I","ORF1a.D75G","ORF1a.N593S","ORF1a.V1295F","S.S1252P","N.E378V","S.L922F","S.C1250F","ORF1a.T609I","S.P1162L","ORF1a.A2355S","ORF1b.P2116S","ORF9b.P39L","ORF1a.A1283V","ORF1a.A3969V"
"C.36.3","Bahrain","2021-07-19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Bahrain","2021-07-29",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Germany","2021-04-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Denmark","2021-06-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Egypt","2021-05-20",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Egypt","2021-05-02",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Egypt","2021-05-07",0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Egypt","2021-05-13",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.36.3","Egypt","2021-05-17",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
