"lineage","country","date","N.R203K","N.G204R","ORF1a.T1246I","ORF1a.G3278S","ORF1b.P314L","ORF1b.S2563A","S.D614G","E.N64S","ORF1a.D1547N","ORF1a.S2661F","ORF1b.P1342S","ORF3a.N82S","S.K1073N","ORF1a.R226K","ORF1a.A1146V","ORF1a.R24C","N.A414V"
"C.18","United Kingdom","2020-10-21",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"C.18","Hong Kong","2020",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"C.18","Hong Kong","2020",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"C.18","Italy","2020-12-29",1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
"C.18","Italy","2020-12-29",1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0
"C.18","Italy","2020-12-29",1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
"C.18","Switzerland","2020-12-18",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-28",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-16",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-17",1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-19",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
"C.18","Switzerland","2020-12-19",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
"C.18","Switzerland","2020-12-19",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-19",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
"C.18","Switzerland","2020-12-19",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"C.18","Switzerland","2020-12-19",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
